filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,-0.06,-1.78,1.39,dual_color,1.0
1,-0.2,-0.5,0.1,misc,1.0
2,0.01,-1.16,1.63,dual_color,1.0
3,-0.25,-8.6,7.01,single_edge,1.0
4,0.05,-0.93,1.44,dual_color,1.0
5,0.03,-0.67,0.92,dual_color,1.0
6,0.08,-2.75,3.79,single_edge,1.0
7,0.13,-0.31,0.57,inside_out,1.0
8,0.3,-4.69,6.73,misc,1.0
9,-0.17,-8.43,7.55,multi_edge,1.0
10,0.04,-2.0,2.49,single_edge,1.0
11,-0.19,-4.87,3.15,single_edge,1.0
12,0.44,-5.05,8.32,single_edge,1.0
13,-0.62,-7.64,3.19,single_edge,1.0
14,0.29,-2.34,5.09,single_edge,1.0
15,-0.07,-0.43,0.32,inside_out,1.0
16,-0.28,-7.15,5.38,multi_edge,1.0
17,0.04,-1.58,1.2,dual_color,1.0
18,0.41,-14.45,16.5,multi_edge,1.0
19,-0.04,-0.32,0.16,inside_out,1.0
20,0.26,-0.84,2.79,dual_color,1.0
21,-0.22,-0.39,0.27,eye,1.0
22,0.07,-2.63,3.18,multi_edge,1.0
23,-0.0,-1.53,1.45,single_edge,1.0
24,-0.04,-2.82,2.73,single_edge,1.0
25,0.3,-5.92,8.2,multi_edge,1.0
26,0.08,-2.67,2.5,dual_color,1.0
27,0.12,-5.9,6.44,multi_edge,1.0
28,0.01,-3.26,2.75,single_edge,1.0
29,-0.08,-2.04,1.54,single_edge,1.0
30,0.08,-2.34,2.84,single_edge,1.0
31,-0.04,-2.75,1.34,eye,1.0
32,-0.06,-1.58,1.51,single_edge,1.0
33,0.24,-11.41,13.05,multi_edge,1.0
34,0.11,-3.41,3.3,single_edge,1.0
35,-0.53,-0.72,-0.36,inside_out,0.0
36,-0.41,-0.64,-0.08,misc,0.0
37,0.31,-0.21,0.57,eye,1.0
38,0.03,-1.2,1.28,dual_color,1.0
39,-0.06,-1.99,2.84,eye,1.0
40,0.03,-0.17,0.27,inside_out,1.0
41,0.13,-6.99,8.17,multi_edge,1.0
42,-0.02,-2.21,1.09,dual_color,1.0
43,0.01,-2.24,2.24,single_edge,1.0
44,0.08,-1.09,1.16,dual_color,1.0
45,0.23,-2.53,3.28,eye,1.0
46,0.03,-0.76,0.75,eye,1.0
47,-0.02,-0.83,0.58,dual_color,1.0
48,-0.02,-5.52,5.34,single_edge,1.0
49,-0.07,-4.0,3.33,single_edge,1.0
50,-0.12,-2.25,1.41,single_edge,1.0
51,0.28,-0.04,0.42,inside_out,1.0
52,-0.04,-0.33,0.29,inside_out,1.0
53,0.29,-0.02,0.77,inside_out,1.0
54,-0.02,-8.08,7.79,multi_edge,1.0
55,0.97,-5.35,11.95,single_edge,1.0
56,-0.08,-1.4,0.78,dual_color,1.0
57,-0.35,-5.84,3.52,single_edge,1.0
58,-0.03,-0.7,0.28,inside_out,1.0
59,0.1,-0.68,1.87,dual_color,1.0
60,0.23,-7.18,8.96,misc,1.0
61,-0.06,-3.83,2.13,misc,1.0
62,-0.1,-0.88,0.79,misc,1.0
63,0.21,-9.26,10.42,multi_edge,1.0
