filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,0.08,-3.68,4.36,dual_color,1.0
1,-0.07,-0.33,0.39,misc,1.0
2,0.23,-3.17,5.38,dual_color,1.0
3,0.01,-6.39,6.36,single_edge,1.0
4,-0.03,-2.18,1.87,dual_color,1.0
5,0.08,-1.46,2.35,dual_color,1.0
6,0.56,-2.51,7.69,single_edge,1.0
7,0.17,-0.81,1.54,inside_out,1.0
8,-0.02,-11.6,11.92,misc,1.0
9,-0.03,-6.12,6.28,multi_edge,1.0
10,-1.25,-10.4,2.27,single_edge,1.0
11,-1.11,-11.86,3.57,single_edge,1.0
12,-0.53,-7.97,3.4,single_edge,1.0
13,-0.2,-5.83,3.64,single_edge,1.0
14,0.08,-2.85,4.73,single_edge,1.0
15,-0.0,-0.51,0.65,inside_out,1.0
16,-0.07,-5.36,4.89,multi_edge,1.0
17,0.12,-0.88,1.18,dual_color,1.0
18,-0.03,-7.77,7.05,multi_edge,1.0
19,0.12,-0.34,0.44,inside_out,1.0
20,-0.04,-3.21,2.65,dual_color,1.0
21,-0.09,-0.35,0.68,eye,1.0
22,0.09,-2.62,3.03,multi_edge,1.0
23,-0.01,-2.9,1.95,single_edge,1.0
24,-0.03,-4.27,4.8,single_edge,1.0
25,-0.09,-3.69,3.05,multi_edge,1.0
26,0.08,-2.54,2.23,dual_color,1.0
27,-0.25,-6.88,4.78,multi_edge,1.0
28,-0.07,-2.81,2.65,single_edge,1.0
29,-0.78,-8.65,2.4,single_edge,1.0
30,0.06,-4.1,4.06,single_edge,1.0
31,0.3,-1.84,3.0,eye,1.0
32,0.83,-2.67,9.62,single_edge,1.0
33,0.23,-6.62,8.18,multi_edge,1.0
34,0.12,-3.12,4.7,single_edge,1.0
35,-0.02,-0.25,0.49,inside_out,1.0
36,-0.09,-0.42,0.58,misc,1.0
37,0.06,-0.81,0.4,eye,1.0
38,-0.06,-3.37,2.56,dual_color,1.0
39,-0.22,-3.29,3.31,eye,1.0
40,-0.0,-0.5,0.39,inside_out,1.0
41,0.48,-4.63,8.04,multi_edge,1.0
42,0.21,-2.64,3.64,dual_color,1.0
43,-0.13,-3.87,2.48,single_edge,1.0
44,0.26,-3.52,4.7,dual_color,1.0
45,0.08,-5.06,4.45,eye,1.0
46,-0.15,-2.44,2.07,eye,1.0
47,-0.13,-2.48,1.07,dual_color,1.0
48,-1.33,-12.19,3.81,single_edge,1.0
49,-0.07,-4.1,3.2,single_edge,1.0
50,0.03,-2.22,3.25,single_edge,1.0
51,0.08,-0.3,0.26,inside_out,1.0
52,0.0,-0.44,0.68,inside_out,1.0
53,0.03,-0.8,0.44,inside_out,1.0
54,-0.05,-3.07,2.76,multi_edge,1.0
55,0.26,-3.41,6.19,single_edge,1.0
56,-0.04,-4.22,4.07,dual_color,1.0
57,0.89,-2.95,8.86,single_edge,1.0
58,-0.1,-0.84,0.53,inside_out,1.0
59,-0.15,-1.99,1.04,dual_color,1.0
60,0.12,-7.65,8.64,misc,1.0
61,0.32,-2.98,3.86,misc,1.0
62,-0.14,-1.17,0.74,misc,1.0
63,-0.02,-7.52,7.4,multi_edge,1.0
