filter_idx,skew,skew_ci_low,skew_ci_high,frequency,wave_number,aspect_ratio,theta,nonskewed
0,0.5087672728776238,0.3573904669102319,0.7604563760930616,0.03,2,0.5,0.0,False
1,0.5774354770914959,0.36586007002383497,0.9582932101374467,0.054,2,0.5,0.0,False
2,0.7261496830250707,0.2150934784034999,2.211636859041881,0.096,2,0.5,0.0,False
3,1.0562843833357518,-0.596342770996951,5.39117336880608,0.171,2,0.5,0.0,True
4,1.2364573175917952,-1.199452163874435,7.347567472202391,0.306,2,0.5,0.0,True
5,0.4850794436974908,0.3355463243072741,0.6871427093353666,0.03,2,1.0,0.0,False
6,0.5859061113465192,0.3487037233068433,1.001939472174591,0.054,2,1.0,0.0,False
7,0.6699424120022117,0.2738800066779803,1.6468748788496768,0.096,2,1.0,0.0,False
8,0.9427278293456115,-0.11213840925676308,4.103325736749977,0.171,2,1.0,0.0,True
9,1.0526476480904008,-0.42583788055434985,4.993570440599236,0.306,2,1.0,0.0,True
10,0.21766722794196017,0.06292675671356167,0.4569832243427894,0.03,3,0.5,0.0,False
11,0.24394865780244748,-0.012639721757046616,0.5501716808998666,0.054,3,0.5,0.0,True
12,0.27904724247257223,-0.4455044572174137,1.2339469316055343,0.096,3,0.5,0.0,True
13,0.4691542464827305,-2.132457969619888,4.259939659306865,0.171,3,0.5,0.0,True
14,0.711352889442349,-1.6525465939005608,5.659174760883473,0.306,3,0.5,0.0,True
15,0.19398545028248917,0.022569712484433412,0.36045497978045327,0.03,3,1.0,0.0,False
16,0.248258323871199,-0.0037677681310047516,0.6184389468463848,0.054,3,1.0,0.0,True
17,0.2983697633441091,-0.1284999339179035,1.1815569201568934,0.096,3,1.0,0.0,True
18,0.3383281869037618,-1.293183744676628,2.560756541992591,0.171,3,1.0,0.0,True
19,0.45063746830794127,-1.2567810391193701,3.2311083784397665,0.306,3,1.0,0.0,True
