filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,0.31,0.22,0.46,dual_color,0.0
1,-1.57,-1.58,-1.55,misc,0.0
2,-0.01,-0.11,0.1,dual_color,1.0
3,-0.11,-0.22,0.06,single_edge,1.0
4,-0.02,-0.07,0.07,dual_color,1.0
5,0.12,0.04,0.13,dual_color,0.0
6,-0.18,-0.23,-0.11,single_edge,0.0
7,0.31,0.27,0.35,inside_out,0.0
8,0.47,0.39,0.55,misc,0.0
9,-0.17,-0.34,0.01,multi_edge,1.0
10,-0.11,-0.23,0.03,single_edge,1.0
11,0.23,0.12,0.4,single_edge,0.0
12,-0.08,-0.11,0.02,single_edge,1.0
13,-0.08,-0.26,0.07,single_edge,1.0
14,-0.16,-0.26,-0.09,single_edge,0.0
15,-0.4,-0.43,-0.37,inside_out,0.0
16,0.01,-0.09,0.02,multi_edge,1.0
17,-0.21,-0.26,-0.13,dual_color,0.0
18,0.04,-0.07,0.1,multi_edge,1.0
19,1.0,0.98,1.01,inside_out,0.0
20,-0.02,-0.05,0.02,dual_color,1.0
21,-1.42,-1.44,-1.41,eye,0.0
22,0.01,-0.1,0.16,multi_edge,1.0
23,0.44,0.4,0.5,single_edge,0.0
24,-0.41,-0.62,-0.33,single_edge,0.0
25,-0.44,-0.72,-0.16,multi_edge,0.0
26,0.08,0.06,0.14,dual_color,0.0
27,0.18,0.01,0.35,multi_edge,0.0
28,-0.33,-0.44,-0.28,single_edge,0.0
29,0.26,0.19,0.32,single_edge,0.0
30,0.39,0.28,0.58,single_edge,0.0
31,0.82,0.73,0.86,eye,0.0
32,-0.47,-0.55,-0.34,single_edge,0.0
33,-0.06,-0.2,0.15,multi_edge,1.0
34,-0.26,-0.36,-0.11,single_edge,0.0
35,-1.42,-1.45,-1.38,inside_out,0.0
36,-1.54,-1.55,-1.51,misc,0.0
37,1.34,1.32,1.36,eye,0.0
38,-0.15,-0.25,-0.05,dual_color,0.0
39,-0.87,-1.01,-0.75,eye,0.0
40,0.26,0.22,0.31,inside_out,0.0
41,-0.07,-0.18,0.13,multi_edge,1.0
42,-0.07,-0.18,0.02,dual_color,1.0
43,0.19,0.09,0.29,single_edge,0.0
44,-0.05,-0.14,0.04,dual_color,1.0
45,0.53,0.44,0.58,eye,0.0
46,0.13,0.08,0.21,eye,0.0
47,-0.19,-0.28,-0.11,dual_color,0.0
48,0.2,0.05,0.3,single_edge,0.0
49,-0.03,-0.09,-0.01,single_edge,0.0
50,-0.11,-0.15,-0.07,single_edge,0.0
51,1.51,1.49,1.52,inside_out,0.0
52,-0.27,-0.31,-0.24,inside_out,0.0
53,1.31,1.29,1.32,inside_out,0.0
54,-0.63,-0.94,-0.17,multi_edge,0.0
55,0.28,0.12,0.39,single_edge,0.0
56,-0.06,-0.12,-0.02,dual_color,0.0
57,0.03,-0.09,0.06,single_edge,1.0
58,0.52,0.51,0.55,inside_out,0.0
59,-0.03,-0.09,0.02,dual_color,1.0
60,-0.22,-0.34,-0.13,misc,0.0
61,0.35,0.21,0.39,misc,0.0
62,0.32,0.29,0.41,misc,0.0
63,0.02,-0.08,0.2,multi_edge,1.0
