filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,0.03,-1.11,1.0,dual_color,1.0
1,-0.12,-0.31,0.19,misc,1.0
2,-0.05,-1.45,1.34,dual_color,1.0
3,0.01,-1.68,1.75,single_edge,1.0
4,-0.02,-0.83,0.73,dual_color,1.0
5,0.01,-0.68,0.85,dual_color,1.0
6,-0.03,-1.33,1.16,single_edge,1.0
7,0.15,-0.22,0.52,inside_out,1.0
8,0.04,-2.28,2.73,misc,1.0
9,0.06,-2.72,3.4,multi_edge,1.0
10,0.03,-1.02,1.31,single_edge,1.0
11,0.03,-1.49,1.64,single_edge,1.0
12,0.02,-2.29,2.08,single_edge,1.0
13,-0.07,-2.06,1.27,single_edge,1.0
14,-0.02,-1.02,1.18,single_edge,1.0
15,-0.08,-0.39,0.21,inside_out,1.0
16,-0.09,-3.69,2.98,multi_edge,1.0
17,-0.01,-0.65,0.51,dual_color,1.0
18,0.06,-2.62,2.76,multi_edge,1.0
19,0.07,-0.09,0.21,inside_out,1.0
20,0.01,-1.19,1.26,dual_color,1.0
21,-0.09,-0.26,0.12,eye,1.0
22,-0.01,-1.75,1.48,multi_edge,1.0
23,-0.08,-2.28,1.11,single_edge,1.0
24,0.16,-1.66,3.44,single_edge,1.0
25,-0.14,-3.68,2.66,multi_edge,1.0
26,0.07,-0.82,0.71,dual_color,1.0
27,0.39,-2.59,5.55,multi_edge,1.0
28,-0.03,-1.7,2.0,single_edge,1.0
29,-0.22,-2.85,0.96,single_edge,1.0
30,-0.18,-3.58,1.63,single_edge,1.0
31,0.23,-0.32,1.07,eye,1.0
32,0.15,-0.88,2.57,single_edge,1.0
33,-0.12,-4.3,3.41,multi_edge,1.0
34,-0.05,-2.17,2.62,single_edge,1.0
35,-0.18,-0.34,-0.02,inside_out,0.0
36,-0.27,-0.47,-0.07,misc,0.0
37,0.13,-0.11,0.34,eye,1.0
38,0.06,-0.68,1.02,dual_color,1.0
39,-0.26,-1.24,0.59,eye,1.0
40,-0.03,-0.26,0.13,inside_out,1.0
41,-0.04,-3.43,3.18,multi_edge,1.0
42,-0.03,-1.23,0.84,dual_color,1.0
43,0.04,-0.8,1.08,single_edge,1.0
44,-0.05,-1.68,1.06,dual_color,1.0
45,0.1,-1.15,1.01,eye,1.0
46,-0.14,-1.08,0.44,eye,1.0
47,0.01,-0.67,0.68,dual_color,1.0
48,0.14,-1.5,2.91,single_edge,1.0
49,-0.02,-1.1,0.9,single_edge,1.0
50,-0.07,-1.78,1.72,single_edge,1.0
51,0.16,0.04,0.28,inside_out,0.0
52,0.0,-0.32,0.34,inside_out,1.0
53,0.13,-0.3,0.43,inside_out,1.0
54,0.02,-3.77,3.95,multi_edge,1.0
55,0.03,-1.98,2.36,single_edge,1.0
56,-0.08,-1.48,0.96,dual_color,1.0
57,-0.05,-1.76,1.23,single_edge,1.0
58,-0.04,-0.28,0.29,inside_out,1.0
59,0.0,-0.5,0.7,dual_color,1.0
60,-0.06,-2.21,2.03,misc,1.0
61,0.05,-1.03,1.17,misc,1.0
62,-0.0,-0.44,0.67,misc,1.0
63,-0.07,-2.95,2.31,multi_edge,1.0
