filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,0.87,-1.65,4.19,dual_color,1.0
1,-1.17,-1.56,-0.85,misc,0.0
2,-0.11,-2.86,2.16,dual_color,1.0
3,-0.22,-6.49,5.04,single_edge,1.0
4,-0.01,-1.34,1.29,dual_color,1.0
5,-0.26,-1.41,0.69,dual_color,1.0
6,-0.8,-4.72,1.86,single_edge,1.0
7,0.39,-1.01,1.86,inside_out,1.0
8,0.56,-8.05,10.14,misc,1.0
9,-2.75,-34.37,25.9,multi_edge,1.0
10,-0.63,-4.85,2.55,single_edge,1.0
11,0.76,-2.87,5.32,single_edge,1.0
12,0.35,-5.94,7.78,single_edge,1.0
13,0.51,-3.74,6.13,single_edge,1.0
14,-1.02,-5.68,1.56,single_edge,1.0
15,-0.26,-0.99,0.58,inside_out,1.0
16,0.08,-5.32,5.76,multi_edge,1.0
17,-0.28,-2.0,1.21,dual_color,1.0
18,-0.01,-7.83,7.76,multi_edge,1.0
19,1.03,0.41,1.62,inside_out,0.0
20,-0.55,-3.74,2.0,dual_color,1.0
21,-1.29,-2.81,-0.0,eye,0.0
22,-0.06,-4.69,4.05,multi_edge,1.0
23,0.61,-1.52,3.41,single_edge,1.0
24,-1.09,-14.49,10.75,single_edge,1.0
25,0.22,-12.36,13.38,multi_edge,1.0
26,-0.04,-2.37,2.08,dual_color,1.0
27,0.53,-36.12,37.01,multi_edge,1.0
28,-0.99,-10.99,5.63,single_edge,1.0
29,0.86,-1.69,5.33,single_edge,1.0
30,1.33,-6.28,13.42,single_edge,1.0
31,1.26,-0.01,3.27,eye,1.0
32,-1.22,-6.12,1.52,single_edge,1.0
33,-0.03,-10.27,10.17,multi_edge,1.0
34,-1.32,-11.54,4.49,single_edge,1.0
35,-1.09,-2.24,-0.24,inside_out,0.0
36,-1.21,-1.63,-0.89,misc,0.0
37,1.5,0.04,4.83,eye,0.0
38,-0.22,-2.43,2.02,dual_color,1.0
39,-1.27,-3.56,0.28,eye,1.0
40,0.23,-0.51,0.77,inside_out,1.0
41,0.25,-6.56,8.08,multi_edge,1.0
42,-0.41,-3.17,1.95,dual_color,1.0
43,0.72,-2.92,4.88,single_edge,1.0
44,-0.36,-5.44,4.13,dual_color,1.0
45,0.6,-1.83,3.94,eye,1.0
46,0.01,-1.38,1.12,eye,1.0
47,0.06,-1.42,1.72,dual_color,1.0
48,-0.46,-6.42,4.01,single_edge,1.0
49,-0.03,-2.97,2.9,single_edge,1.0
50,-0.49,-4.11,2.33,single_edge,1.0
51,0.98,0.75,1.34,inside_out,0.0
52,-0.31,-1.22,0.46,inside_out,1.0
53,0.95,0.53,1.73,inside_out,0.0
54,0.23,-16.43,17.58,multi_edge,1.0
55,-0.93,-8.56,4.37,single_edge,1.0
56,0.3,-1.65,2.37,dual_color,1.0
57,0.35,-3.59,4.59,single_edge,1.0
58,0.59,-0.16,1.79,inside_out,1.0
59,0.19,-1.21,2.07,dual_color,1.0
60,0.02,-5.2,6.34,misc,1.0
61,0.38,-2.26,3.99,misc,1.0
62,0.26,-0.96,1.89,misc,1.0
63,0.28,-8.89,10.68,multi_edge,1.0
