,index,nan_prop,wave_number,aspect_ratio,frequency,kernel_size
0,0,0.46519730621959315,2.0,0.5,0.044,"(25, 47)"
1,1,0.42127506860867925,2.0,0.5,0.065,"(17, 33)"
2,2,0.3958518429925278,2.0,0.5,0.096,"(13, 23)"
3,3,0.3754982797967888,2.0,0.5,0.141,"(9, 17)"
4,4,0.36008080870044784,2.0,0.5,0.208,"(7, 11)"
5,5,0.3485890664901267,2.0,0.5,0.306,"(5, 9)"
6,6,0.34306993442148404,2.0,0.5,0.45,"(5, 7)"
7,7,0.4987912454904363,2.0,1.0,0.044,"(47, 47)"
8,8,0.44942699081362814,2.0,1.0,0.065,"(33, 33)"
9,9,0.41310314842383933,2.0,1.0,0.096,"(23, 23)"
10,10,0.38780596232204195,2.0,1.0,0.141,"(17, 17)"
11,11,0.36865317109516976,2.0,1.0,0.208,"(11, 11)"
12,12,0.3533661081815873,2.0,1.0,0.306,"(9, 9)"
13,13,0.3444768229103767,2.0,1.0,0.45,"(7, 7)"
14,14,0.5299241148574615,3.0,0.5,0.044,"(37, 71)"
15,15,0.46513034665543895,3.0,0.5,0.065,"(25, 49)"
16,16,0.4230996452549765,3.0,0.5,0.096,"(17, 33)"
17,17,0.39554603620423007,3.0,0.5,0.141,"(13, 23)"
18,18,0.37446460367623213,3.0,0.5,0.208,"(9, 17)"
19,19,0.3592392910900024,3.0,0.5,0.306,"(7, 11)"
20,20,0.34921017219964234,3.0,0.5,0.45,"(5, 9)"
21,21,0.5795377781858251,3.0,1.0,0.044,"(71, 71)"
22,22,0.5032555557110893,3.0,1.0,0.065,"(49, 49)"
23,23,0.4484005367195042,3.0,1.0,0.096,"(33, 33)"
24,24,0.4140284312482297,3.0,1.0,0.141,"(23, 23)"
25,25,0.3883600512858798,3.0,1.0,0.208,"(17, 17)"
26,26,0.3686193996873223,3.0,1.0,0.306,"(11, 11)"
27,27,0.3537083567548854,3.0,1.0,0.45,"(9, 9)"
28,28,0.588090229974024,4.0,0.5,0.044,"(47, 93)"
29,29,0.5093594660672944,4.0,0.5,0.065,"(33, 63)"
30,30,0.45529612527017127,4.0,0.5,0.096,"(23, 43)"
31,31,0.41791046773205454,4.0,0.5,0.141,"(17, 31)"
32,32,0.38732205796029023,4.0,0.5,0.208,"(11, 21)"
33,33,0.3708016010186179,4.0,0.5,0.306,"(9, 15)"
34,34,0.35655373796077333,4.0,0.5,0.45,"(7, 11)"
35,35,0.6523614905677019,4.0,1.0,0.044,"(93, 93)"
36,36,0.5563728453544449,4.0,1.0,0.065,"(63, 63)"
37,37,0.48897225154490753,4.0,1.0,0.096,"(43, 43)"
38,38,0.4420442614269727,4.0,1.0,0.141,"(31, 31)"
39,39,0.4050899813030141,4.0,1.0,0.208,"(21, 21)"
40,40,0.3799554594814469,4.0,1.0,0.306,"(15, 15)"
41,41,0.3627955472793306,4.0,1.0,0.45,"(11, 11)"
