,group,dataset,subset,transform,orientation,channel,dataset_type,obs_var,var_lower,var_upper,total_samples,initial_r,initial_eta,best_r,best_eta,best_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_best,n_pval_0.05,obs_kurt,kurt_lower,kurt_upper,intersect_roi,hull_area,hull_r_lower,hull_r_upper,hull_beta_lower,hull_beta_upper,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,github_plot,total_samples,beat_all_priors,best_prior,failure_category,failure_type,which_ones
0,0,coco,indoor,gabor,,gray,natural,48151.79,37929.86,58920.508,65536000.0,0.8,-1.0,0.9,-1.05,95379.30683823962,0.0095683954996576,0.0001677585889693,0.0057998760743858,54000,4.805374,2.850701,10.4124565,0.0,0.06245497638351329,0.7,1.1,0.4181818181818181,0.7428571428571429,130.001,0.0619734,0.0,110.648,0.0369874,0.0,88.5103,0.0408342,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_0.jpg,65536000.0,1,GenGamma,,,
1,1,coco,indoor,gabor,,gray,natural,16781.791,13089.72,21401.678,65536000.0,0.7,-1.1,0.9,-1.13,39808.19799470224,0.0079911653352301,0.0001677585889693,0.0050527996396158,72000,6.462632,3.6738226,15.801724,0.0,0.12716932599463324,0.6,1.1,0.30000000000000004,0.7499999999999999,66.5132,0.071484,0.0,56.4238,0.046919,0.0,44.5976,0.0498982,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_1.jpg,65536000.0,1,GenGamma,,,
2,2,coco,indoor,gabor,,gray,natural,5987.2153,4600.3984,7711.9795,65536000.0,0.6,-1.1,0.56,-1.1,5746.94260266802,0.0080708594814853,0.0001677585889693,0.0064756295478761,45562,8.724895,4.598077,20.108118,0.0,0.015391444232310288,0.5,0.7,0.5142857142857145,0.8799999999999999,34.8354,0.0763676,0.0,29.8038,0.051205,0.0,23.3384,0.053079,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_2.jpg,65536000.0,1,GenGamma,,,
3,3,coco,indoor,gabor,,gray,natural,2323.1816,1710.5804,3108.5173,65536000.0,0.5,-1.1,0.4,-1.05,572.0664521853395,0.0080681970370492,0.0001677585889693,0.0078418021327756,30375,11.433421,5.949448,30.103315,0.0,0.006089495866803853,0.36,0.5,0.7999999999999998,1.3888888888888888,19.2538,0.079301,0.0,16.6712,0.0537307,0.0,12.9304,0.0541969,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_3.jpg,65536000.0,1,GenGamma,,,
4,4,coco,indoor,gabor,,gray,natural,898.3367,635.3214,1195.0044,65536000.0,0.3,-0.9,0.4,-1.07,229.6781383773369,0.009481085363228,0.0001677585889693,0.0061657938165215,48000,13.680874,7.7096524,40.028572,0.0,0.017205498805161742,0.3,0.5,0.7400000000000002,2.0,11.18,0.0771092,0.0,9.74543,0.0516087,0.0,7.51438,0.0514398,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_4.jpg,65536000.0,1,GenGamma,,,
5,5,coco,indoor,gabor,,gray,natural,336.72748,227.77489,461.9838,65536000.0,0.3,-1.0,0.29,-1.0,9.852762423711791,0.0071780197601581,0.0001677585889693,0.0067663010518712,40500,17.173624,8.435708,46.412277,0.0,0.010261483101033243,0.19,0.4,0.9999999999999998,4.2105263157894735,6.08108,0.0800945,0.0,5.28257,0.0550842,0.0,4.05331,0.0548889,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_5.jpg,65536000.0,1,GenGamma,,,
6,6,coco,indoor,gabor,,gray,natural,204.26666,140.08899,291.47574,65536000.0,0.2,-0.8,0.36,-1.1,33.2047475554101,0.0102495646433823,0.0001677585889693,0.0098299607766192,19219,18.03486,9.37013,55.440086,0.0,0.0038426649344004407,0.2,0.35,1.1428571428571428,3.55,4.40522,0.084009,0.0,3.82433,0.0591595,0.0,2.92602,0.0589156,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_6.jpg,65536000.0,1,GenGamma,,,
7,7,coco,indoor,gabor,,gray,natural,67164.266,54065.375,83999.0,65536000.0,0.8,-1.0,0.8,-0.98,96706.22825542808,0.0052860338781455,0.0001677585889693,0.002664022902809,256000,5.660078,3.1608675,12.102938,0.0,0.09379643239176302,0.5,1.0,0.55,1.4600000000000002,159.779,0.0538965,0.0,136.728,0.0282925,0.0,109.545,0.0322303,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_7.jpg,65536000.0,1,GenGamma,,,
8,8,coco,indoor,gabor,,gray,natural,23793.102,18260.752,30822.084,65536000.0,1.0,-1.1,0.8,-1.08,43473.41860159661,0.0032808437730976,0.0001677585889693,0.0026454009463328,256000,7.7270994,3.9596646,21.003029,0.0,0.3806803678507502,0.55,1.4,0.24285714285714294,0.9090909090909091,83.0484,0.0628589,0.0,70.485,0.038222,0.0,56.1045,0.0417671,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_8.jpg,65536000.0,1,GenGamma,,,
9,9,coco,indoor,gabor,,gray,natural,8489.239,6448.503,11051.824,65536000.0,0.7,-1.1,0.6,-1.07,8302.661552395582,0.005661472822005,0.0001677585889693,0.0042919784084033,96000,9.871902,4.9639263,31.280233,0.0,0.07613474947960781,0.47,1.0,0.3500000000000001,1.0638297872340425,43.9709,0.0696623,0.0,37.5253,0.0445432,0.0,29.6371,0.0472634,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_9.jpg,65536000.0,1,GenGamma,,,
