,transform,dataset_type,dataset,Number of Groups,Relative Frobenius Norm,Median Cosine Distance,90th Percentile Cosine Distance,Max Cosine Distance
0,fourier,remote sensing,agriVision,32.0,2.9902559412862678e-05,0.0521,0.1751,0.2684
1,fourier,remote sensing,pastis,32.0,3.178921973544861e-05,0.0272,0.0696,0.1478
2,fourier,remote sensing,spaceNet,23.0,2.4900615134695573e-05,0.0137,0.1395,0.3086
24,fourier,remote sensing,z_aggregate,29.0,2.8864131427668956e-05,0.031,0.1281,0.2416
13,wavelet,classical,standardTesting,7.0,1.4614549501550481e-05,0.0036,0.0125,0.0149
30,wavelet,classical,z_aggregate,7.0,1.4614549501550481e-05,0.0036,0.0125,0.0149
14,wavelet,medical,syntheticMRI2D (axial),7.0,1.0185697769836863e-05,0.0059,0.0131,0.0142
15,wavelet,medical,syntheticMRI2D (coronal),7.0,2.4052229319505336e-05,0.0064,0.0142,0.0169
16,wavelet,medical,syntheticMRI2D (sagittal),7.0,1.1510938687772494e-05,0.0098,0.0265,0.0284
17,wavelet,medical,syntheticMRI3D,6.0,3.4396000176648654e-05,0.0041,0.0418,0.0427
31,wavelet,medical,z_aggregate,6.5625,2.362616241049279e-05,0.0059,0.0284,0.0299
18,wavelet,natural,coco (indoor),8.0,2.3304019329166945e-05,0.0021,0.0194,0.022
19,wavelet,natural,coco (outdoor),8.0,5.654193984293689e-06,0.0032,0.0424,0.047
20,wavelet,natural,segmentAnything,9.0,9.511623876474147e-06,0.0031,0.0319,0.0372
32,wavelet,natural,z_aggregate,8.3333,1.2823279063311593e-05,0.0028,0.0312,0.0354
21,wavelet,remote sensing,agriVision,9.0,1.714352529312369e-05,0.0048,0.0179,0.0207
22,wavelet,remote sensing,pastis,7.0,1.7377779194974527e-05,0.0038,0.0106,0.0129
23,wavelet,remote sensing,spaceNet,8.0,1.546005657719422e-05,0.005,0.0187,0.0227
33,wavelet,remote sensing,z_aggregate,8.0,1.6660453688430814e-05,0.0045,0.0157,0.0188
3,gabor,medical,syntheticMRI2D (coronal),42.0,2.951477952962737e-05,0.0445,0.2595,0.5586
25,gabor,medical,z_aggregate,42.0,2.951477952962737e-05,0.0445,0.2595,0.5586
4,gabor,natural,coco (indoor),42.0,3.0019622838091325e-05,0.1458,0.3075,0.6078
5,gabor,natural,coco (outdoor),42.0,3.0042310995587164e-05,0.1661,0.3026,0.6239
26,gabor,natural,z_aggregate,42.0,3.0030966916839244e-05,0.1559,0.305,0.6159
6,learned,classical,standardTesting,54.0,3.200293064476915e-05,0.222,0.4207,0.9557
27,learned,classical,z_aggregate,54.0,3.200293064476915e-05,0.222,0.4207,0.9557
7,learned,natural,coco (indoor),62.0,3.181738832269154e-05,0.2303,0.433,0.8938
8,learned,natural,coco (outdoor),64.0,3.148348998355525e-05,0.2307,0.4362,0.8976
9,learned,natural,segmentAnything,61.0,3.1287700205747456e-05,0.2184,0.3895,0.8712
28,learned,natural,z_aggregate,62.3333,3.1529526170664746e-05,0.2265,0.4196,0.8876
10,learned,remote sensing,agriVision,60.0,3.205892474293291e-05,0.195,0.4218,0.9127
11,learned,remote sensing,pastis,32.0,3.213042811211549e-05,0.227,0.6088,0.8425
12,learned,remote sensing,spaceNet,56.0,3.0491534248039623e-05,0.2168,0.5164,0.9204
29,learned,remote sensing,z_aggregate,49.3333,3.156029570102934e-05,0.2129,0.5157,0.8919
