,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,pass,beat_all_priors,failure_category,failure_type,which_ones,github_plot
0,45000.0,agriVision,full,fourier,,blue,2,0.0057471388010437,0.0063984224173442,True,1,actually_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_2.jpg
1,117000.0,agriVision,full,fourier,,blue,5,0.0051082310707424,0.0039690102483117,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_5.jpg
2,189000.0,agriVision,full,fourier,,blue,8,0.0041589093668933,0.0031230403979095,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_8.jpg
3,495000.0,agriVision,full,fourier,,blue,11,0.0035991142652927,0.0019299803152697,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_11.jpg
4,1134000.0,agriVision,full,fourier,,blue,14,0.0029842795191428,0.0012751894232635,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_14.jpg
5,2574000.0,agriVision,full,fourier,,blue,17,0.002641596489521,0.0008464353782179,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_17.jpg
6,5967000.0,agriVision,full,fourier,,blue,20,0.0024920617604859,0.0005559445407404,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_20.jpg
7,13887000.0,agriVision,full,fourier,,blue,23,0.0043361039018986,0.0003644288842482,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_23.jpg
8,31968000.0,agriVision,full,fourier,,blue,26,0.0045084835287648,0.0002401951053511,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_26.jpg
9,73701000.0,agriVision,full,fourier,,blue,29,0.0064292344524385,0.0001581934199511,False,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_29.jpg
