,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,pass,failure_category,failure_type,github_plot
44,262144000.0,agriVision,full,gabor,,blue,0,0.0021242181324905,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_0.jpg
45,262144000.0,agriVision,full,gabor,,blue,1,0.0011098936409245,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_1.jpg
46,262144000.0,agriVision,full,gabor,,blue,2,0.0015305382686761,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_2.jpg
47,262144000.0,agriVision,full,gabor,,blue,3,0.0023298009407215,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_3.jpg
48,262144000.0,agriVision,full,gabor,,blue,4,0.0022550225938706,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_4.jpg
49,262144000.0,agriVision,full,gabor,,blue,5,0.0037888294225391,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_5.jpg
50,262144000.0,agriVision,full,gabor,,blue,6,0.0034563992246677,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_6.jpg
51,262144000.0,agriVision,full,gabor,,blue,7,0.0015875864288894,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_7.jpg
52,262144000.0,agriVision,full,gabor,,blue,8,0.0019500269979905,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_8.jpg
53,262144000.0,agriVision,full,gabor,,blue,9,0.0014530355673819,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_9.jpg
54,262144000.0,agriVision,full,gabor,,blue,10,0.0010331277981527,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_10.jpg
55,262144000.0,agriVision,full,gabor,,blue,11,0.0017244390765911,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_11.jpg
56,262144000.0,agriVision,full,gabor,,blue,12,0.0023040469102734,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_12.jpg
57,262144000.0,agriVision,full,gabor,,blue,13,0.0037479587473504,8.387993035035688e-05,1,False,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_13.jpg
