,transform,dataset_type,dataset,median_total_samples,kstest_stat_best,statistically_pass,practically_pass,intersect_roi,hull_r_lower_ci95,hull_r_upper_ci95,hull_beta_lower_ci95,hull_beta_upper_ci95,uses_practical_threshold
0,fourier,remote sensing,agriVision,2.6e+06,0.005,0.0,93.2,70.5,"[0.1, 0.1]","[0.1, 1.3]","[0.5, 30.6]","[33.4, 75.8]",0.818
1,fourier,remote sensing,pastis,2.6e+05,0.002,0.0,9.1,100.0,"[0.1, 0.2]","[20.0, 20.0]","[0.0, 0.1]","[107.5, 155.0]",1.0
2,fourier,remote sensing,spaceNet,1.8e+06,0.005,0.0,100.0,50.0,"[0.1, 0.8]","[1.3, 20.0]","[0.0, 0.5]","[0.9, 111.9]",0.969
19,fourier,remote sensing,z_aggregate,5.5e+05,0.003,0.0,64.2,75.8,"[0.1, 0.8]","[0.1, 20.0]","[0.0, 27.3]","[1.0, 155.0]",0.925
9,wavelet,medical,syntheticMRI2D (axial),4.2e+06,0.007,0.0,76.2,33.3,"[0.1, 0.6]","[0.4, 11.6]","[0.1, 5.6]","[0.9, 117.8]",0.619
10,wavelet,medical,syntheticMRI2D (coronal),3.7e+06,0.004,0.0,71.4,57.1,"[0.1, 0.6]","[0.6, 20.0]","[0.0, 6.1]","[4.5, 155.0]",0.81
11,wavelet,medical,syntheticMRI2D (sagittal),2.4e+06,0.005,0.0,81.0,76.2,"[0.1, 0.4]","[0.4, 3.6]","[0.4, 4.7]","[19.3, 155.0]",0.857
12,wavelet,medical,syntheticMRI3D,1.6e+06,0.005,0.0,61.9,66.7,"[0.1, 0.6]","[0.6, 1.8]","[0.4, 10.6]","[7.1, 155.0]",0.667
22,wavelet,medical,z_aggregate,2.9e+06,0.005,0.0,70.5,60.0,"[0.1, 0.6]","[0.4, 20.0]","[0.0, 9.3]","[1.2, 155.0]",0.724
13,wavelet,natural,coco (indoor),2.6e+05,0.013,0.0,25.0,37.5,"[0.1, 1.5]","[0.1, 20.0]","[0.0, 11.6]","[0.4, 155.0]",0.333
14,wavelet,natural,coco (outdoor),3.9e+05,0.011,0.0,28.1,20.8,"[0.1, 1.8]","[0.4, 20.0]","[0.0, 1.2]","[0.4, 155.0]",0.406
15,wavelet,natural,segmentAnything,1.8e+06,0.004,0.0,60.2,38.9,"[0.1, 0.6]","[0.5, 20.0]","[0.0, 1.4]","[1.8, 155.0]",0.769
23,wavelet,natural,z_aggregate,4.5e+05,0.008,0.0,38.7,32.7,"[0.1, 1.5]","[0.3, 20.0]","[0.0, 3.0]","[0.4, 155.0]",0.513
16,wavelet,remote sensing,agriVision,1.7e+06,0.005,0.0,86.1,75.0,"[0.1, 0.2]","[0.2, 1.6]","[0.4, 12.7]","[8.9, 74.3]",0.778
17,wavelet,remote sensing,pastis,1.5e+05,0.005,0.0,42.9,96.4,"[0.1, 0.2]","[0.4, 20.0]","[0.0, 2.2]","[10.8, 151.2]",0.821
18,wavelet,remote sensing,spaceNet,1.6e+06,0.012,0.0,48.4,48.4,"[0.0, 2.4]","[0.2, 20.0]","[0.0, 6.5]","[0.2, 155.0]",0.156
24,wavelet,remote sensing,z_aggregate,7.e+05,0.007,0.0,60.9,72.4,"[0.1, 2.0]","[0.2, 20.0]","[0.0, 8.6]","[0.2, 155.0]",0.583
3,learned,natural,coco (indoor),2.e+08,0.01,0.0,56.5,45.2,"[0.1, 0.5]","[0.1, 20.0]","[0.0, 18.3]","[1.8, 155.0]",0.258
4,learned,natural,coco (outdoor),2.e+08,0.009,0.0,59.4,26.6,"[0.1, 1.6]","[0.3, 20.0]","[0.0, 5.6]","[0.6, 127.7]",0.406
5,learned,natural,segmentAnything,7.9e+08,0.005,0.0,73.4,51.6,"[0.1, 1.1]","[0.3, 20.0]","[0.0, 5.4]","[1.6, 155.0]",0.719
20,learned,natural,z_aggregate,2.e+08,0.009,0.0,63.2,41.1,"[0.1, 1.4]","[0.1, 20.0]","[0.0, 15.1]","[0.7, 155.0]",0.463
6,learned,remote sensing,agriVision,7.9e+08,0.005,0.0,78.3,53.3,"[0.1, 0.1]","[0.1, 2.3]","[0.3, 25.5]","[24.7, 96.3]",0.65
7,learned,remote sensing,pastis,4.9e+05,0.006,0.0,85.7,77.1,"[0.1, 0.3]","[0.1, 3.8]","[0.5, 25.8]","[4.7, 68.3]",0.771
8,learned,remote sensing,spaceNet,4.8e+08,0.012,0.0,42.9,48.2,"[0.1, 0.5]","[0.3, 20.0]","[0.0, 4.5]","[0.8, 111.0]",0.304
21,learned,remote sensing,z_aggregate,4.8e+08,0.007,0.0,66.9,57.0,"[0.1, 0.4]","[0.1, 20.0]","[0.0, 24.8]","[1.2, 100.6]",0.55
