dataset,transform,actually_pass,practically_pass,intersect_roi
agriVision,fourier,2.3,93.2,70.5
pastis,fourier,90.9,9.1,100.0
spaceNet,fourier,0.0,100.0,50.0
agriVision,learned,0.0,78.3,53.3
coco,learned,0.0,57.9,33.3
pastis,learned,0.0,85.7,74.3
segmentAnything,learned,0.0,73.4,50.0
spaceNet,learned,0.0,42.9,46.4
agriVision,wavelet,13.9,86.1,73.6
coco,wavelet,25.0,26.6,27.1
pastis,wavelet,57.1,42.9,96.4
segmentAnything,wavelet,25.0,60.2,36.1
spaceNet,wavelet,4.7,48.4,46.9
syntheticMRI2D,wavelet,2.8,66.7,47.2
syntheticMRI3D,wavelet,6.1,53.1,57.1
