band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50
2,416932946190793.94,390799019528792.25,391986015558940.94,392881430451060.5,396033317974764.6,392386706912951.6,389689493752147.75,397045656229026.7,385005777150813.1,394611979021645.3,384888096229289.25,358669669495604.6,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,0.4999999994822437,,,
5,874505154387031.6,861986803825730.0,864048326133072.5,863623641235889.1,859904655523692.5,861782565907978.5,861806536685544.5,867370986628221.1,870414258930660.2,872807634146968.0,870766913809805.6,852003719174758.2,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.5000000219415133,0.49999999999957123,0.49999999999957123,0.49999999999957123,0.49999999999957123,0.49999999999957123,861782565907978.5,,
8,186922118082488.4,182634081170201.6,182826216840400.6,183008854395955.84,183287530551987.03,183540369636708.72,184004652065044.03,184374341727379.44,184758909088251.1,185316189575024.0,185810136636337.9,186997351171558.28,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,0.4999999999970489,,,
11,13946151561167.826,14133839770939.354,14141848652144.53,14148312419757.195,14151843025165.64,14159237880129.477,14177627920527.045,14190054412937.87,14202771748474.955,14208938288129.336,14223679635607.297,14255197213986.775,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.5000000000616187,0.500000000000013,0.500000000000013,0.500000000000013,0.500000000000013,0.500000000000013,14159237880129.475,,
14,558772698213683.8,333963696397857.75,325843945987703.06,321085241500707.8,317158793601955.2,313696783546832.2,307605878001531.25,302310588508915.06,297501242653302.9,293122129517668.0,289055304462797.06,278079117130983.12,0.0685188830385862,0.0679639092170332,0.0677488908928617,0.0678756940065654,0.0681360118763212,0.0685319080612869,0.0688015435520225,0.0691305081356149,0.0695066864595138,0.0698690397735337,0.0704339340535659,0.06853190806128695,0.06835273050169627,0.0681360118763212,0.06787569400656548,0.06774889089286174,,0.06796390921703327,0.06852201410154035
17,452091526355931.5,439154200765636.5,433796998308295.7,429884128734079.6,426410848029660.2,423224175872057.6,417434253961199.5,412197058122223.4,407342845368837.44,402786741353033.75,398489040988204.7,386781831369343.5,0.0067902657151691,0.0080533062328831,0.0089843446969776,0.0098168941767583,0.0105858529203577,0.0119956672073746,0.0121143614688473,0.011137654991434,0.0102578926791897,0.0094536658924647,0.0104264354964611,0.005730359809748883,0.005090662483107897,0.005247817070320834,0.004461410913045485,0.004565530506988852,433796998308295.7,,
20,19337277440120.85,18632354905639.773,18273028688962.547,18069217417831.37,17892983581297.12,17733097500663.0,17446619304004.137,17190966847618.346,16957306083040.764,16740323813696.85,16537222010263.584,15991379823806.078,0.0022730235850942,0.001819778116969,0.0021493389279683,0.0025948229668919,0.0030263488679326,0.0039033044849425,0.0047191362337215,0.0054897599651511,0.0062414529195689,0.0069532111811557,0.0089891254730722,0.0034911360772636527,0.0030263488679326336,0.002594822966891952,0.0021493389279683695,0.0017605694577674056,18273028688962.547,0.0020096434040796085,
23,5947322412571.913,5684016531926.229,5526451632876.044,5449588005210.788,5384494559447.074,5326446832531.945,5224058162634.342,5134147709144.077,5053070700995.321,4978669155904.012,4909643989619.494,4726615394651.156,0.0029490423111911,0.0023100592358409,0.0021964259569599,0.0025411593497103,0.0029307561879326,0.0037168808247285,0.0045709433963576,0.0053827374105508,0.0061582034709193,0.0069012705738496,0.0089918580425178,0.003716880824728524,0.0033186769452153604,0.0029146554446990297,0.0025252792817615465,0.002124425243557755,5526451632876.044,0.001938862239671768,0.002700502448141795
26,295965339470.66406,283654146645.09686,278651859259.6399,275227812023.8157,272243740913.9885,269539839258.31387,264695324983.84903,260380678748.0167,256442212452.6112,252794354893.3476,249383991991.331,240227881282.23996,0.0023611749568802,0.003165798089994,0.0037026504465611,0.0042064911359138,0.0046521288315505,0.0054806419213723,0.0062712690303156,0.007029757373243,0.0077605151193463,0.0084682722456342,0.0104735256556641,0.004570181048731192,0.004061970970518317,0.003589578009352355,0.00304237301850753,0.002361174956880291,,,
29,53505441203.03191,50881085560.33231,49833712509.73375,49109165081.48262,48478556866.08632,47907164469.966,46886459400.22233,45979657567.60988,45155266453.8631,44395256523.31796,43687254659.65681,41800965996.64368,0.0033904910624026,0.0041752071364683,0.0047589893093637,0.005261705968769,0.005719375042708,0.0065527747325831,0.007328471739086,0.0080705399351447,0.0087888824949521,0.0094871991462513,0.0114913498370478,0.005616044708761626,0.005195596136400797,0.004704880136669719,0.004138089177058324,0.003218416473334207,50881085560.33231,,
