band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,416932946190793.94,318750949665075.2,535474629100402.1,5.3988095724419445,1.8842450997268088,8.783362072506314,720.0,0.4999999994822437,0.1,20.0,100000.0,0.0,390799019528792.25,0.05037584494300355,0.4999999994822437,0.1,20.0,100000.0,0.0,-1
5,874505154387031.6,747463150245403.5,1013377484787958.4,22.821087418633383,18.738922254436947,27.18074235289483,7200.0,0.5000000219415133,0.1,20.0,100000.0,0.0,861782565907978.5,0.01598200647371495,0.49999999999957123,0.09,20.0,100000.0,100.0,-1
8,186922118082488.4,160006954492503.88,217075326531367.03,33.69320789968289,24.327486984721155,43.68325794321442,13680.0,0.4999999999970489,0.1,20.0,100000.0,0.0,182634081170201.6,0.011599242029078331,0.4999999999970489,0.1,20.0,100000.0,0.0,-1
11,13946151561167.826,11434328573490.074,18428711355383.074,93.40548880610088,13.58595351793035,275.4954761403755,28080.0,0.5000000000616187,0.1,19.0,100000.0,0.0,14159237880129.475,0.00809866167486047,0.500000000000013,0.09,19.0,100000.0,100.0,-1
14,558772698213683.8,521066859035093.44,599101021017523.1,5.33799285068406,3.8601317718419774,7.504723775076229,56160.0,0.0677488908928617,0.1,5.2,9.269775516681565e-05,50.0,321085241500707.8,0.005727856644934677,0.0677488908928617,0.1,5.2,9.269775516681565e-05,50.0,414
17,452091526355931.5,429403043681897.6,476040518919594.6,2.00349558532334,1.4283110860712542,3.060647519757499,450720.0,0.0067902657151691,0.1,14.0,4.1277611147924106e-08,0.0,433796998308295.7,0.002022546066510303,0.004461410913045485,0.12,14.0,0.0008783064333834913,25.0,95073
20,19337277440120.85,18206282356897.844,20620808681752.57,3.7711398580154727,2.082114450655568,13.561583224079737,901440.0,0.001819778116969,0.2,7.1,99270.72658996716,25.0,18273028688962.547,0.0014302327594031751,0.0017605694577674056,0.19,7.4,23352.357173463595,25.0,570442
23,5947322412571.913,5549841658929.189,6415372392838.186,5.820011041524225,3.135095187393267,17.55424342030112,7211520.0,0.0021964259569599,0.2,5.2,97039.21687479592,50.0,5526451632876.044,0.0005057059408510994,0.001938862239671768,0.19,5.3,27184.438752056896,25.0,507060
26,295965339470.66406,278004932829.6389,315104304433.3212,3.9631767287078015,2.807602573345459,6.129430571988856,3605760.0,0.0023611749568802,0.2,3.8,15179.024210009253,0.0,283654146645.09686,0.0007151626533607517,0.0023611749568802,0.2,3.8,15179.024210009253,0.0,338040
29,53505441203.03191,49803816026.9049,57432477399.03996,5.627122762166865,4.127409048937148,8.328900333280101,7211520.0,0.0033904910624026,0.2,2.1,16101.201729175307,0.0,50881085560.33231,0.0005057059408510994,0.003218416473334207,0.21,1.9,53287.343486904916,0.0,180487
