band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,223294877933040.12,204435927523587.44,245023432823347.06,5.2520330218604485,2.206040586985574,9.498202715521524,2880.0
5,331135490529685.9,283890704169138.1,384779491085182.94,33.30953939154815,24.53792427615697,41.45780282008651,8640.0
8,61768711805751.805,51924690626679.62,75567029297040.23,52.81993479158075,16.01010201711832,109.14574316210144,24480.0
11,7202463999581.788,6829575974226.951,7609443318230.51,2.3922778400362157,1.1643386896458277,4.357608291466238,67680.0
14,2573510235403.665,2321574932671.347,2897079185721.361,16.665701738057436,5.415897265659036,35.72805105297881,100000.0
17,397791423435256.9,369222447960020.9,429222374705203.8,6.408159255338431,4.3425143451301205,10.709054659632432,100000.0
20,132968564675201.31,123710875776759.0,143214378220147.75,5.945643721232292,3.8157224496001256,12.027684628727943,100000.0
23,10136939875120.775,9443005267113.574,11035436300597.12,6.997989312318538,2.698813059015033,24.278619718137357,100000.0
26,3622786470302.1504,3391325532234.1035,3881514048276.4536,4.820235863972668,3.034605223271956,10.719080756561656,100000.0
29,105325354751.27403,97826623648.26384,113930963299.39793,6.544244656672166,3.99248517317837,17.267695565464035,100000.0
