band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,400631716371793.0,368592826106924.1,434649095617944.1,8.316573902865628,6.3468810352024025,10.120615580266396,5760.0,0.006903771906857,0.1,14.0,2.8723525601268323e-08,50.0,305590768889036.6,0.017865318267024,0.00664083210687,0.11,14.0,6.889972018603201e-06,50.0,43740.0,1000000.0,0.42984,0.0,1000000.0,0.39369,0.0,1000000.0,0.37098,0.0,0.95985614
5,946126933927359.2,832277226801480.2,1067861642839370.8,21.39946318040624,18.443842346038245,24.5485604568405,17280.0,0.0140087094081284,0.1,3.3,0.0028023859322808,300.0,439141000768260.3,0.0103217098273475,0.0140087094081284,0.1,3.3,0.0028023859322808,300.0,9720.0,1000000.0,0.409689,0.0,1000000.0,0.372671,0.0,1000000.0,0.349222,0.0,0.0022460288
8,193453683221031.44,166673629528206.2,223254959333860.62,30.002403795245748,21.807070203525875,39.73412711917472,48960.0,0.0132175640163343,0.1,4.0,0.0001943963447884,500.0,99522160210911.44,0.0061343550472508,0.011736949501334,0.11,3.9,0.0207637888451305,600.0,13770.0,1000000.0,0.350693,0.0,1000000.0,0.306198,0.0,1000000.0,0.282142,0.0,2.7494891e-06
11,14493559833486.1,11606913515097.332,19425743075658.188,109.83934163026636,14.075483487937657,286.6522321236911,135360.0,0.0038796910890101,0.2,8.5,25387.151160178186,250.0,9748405877693.21,0.0036901241493563,0.0037078002248763,0.19,8.7,6255.933040140954,225.0,135360.0,1000000.0,0.221922,0.0,1000000.0,0.177872,0.0,1000000.0,0.152816,0.0,0.048260412
14,412690923047634.2,376972937938434.6,452604442352821.0,10.756497590884289,7.43467580415306,16.7071036239647,374400.0,0.0186720936426964,0.1,1.3,0.3264907147529984,0.0,412690923047634.2,0.0022190964677557,0.0186720936426964,0.1,1.3,0.3264907147529984,0.0,5551.0,1000000.0,0.337801,0.0,1000000.0,0.295791,0.0,1000000.0,0.271928,0.0,8.071897399999995e-114
17,388133374041298.1,365609034463713.0,412040382681458.0,3.3761462474116897,2.2751097568611183,6.317537740792346,1039680.0,0.0020005222667649,0.1,10.0,6.554764363927847e-07,0.0,388133374041298.1,0.0013317697932839,0.0020005222667649,0.1,10.0,6.554764363927847e-07,0.0,438615.0,1000000.0,0.424483,0.0,1000000.0,0.391073,0.0,1000000.0,0.368204,0.0,0.00048567492
20,73429198237742.34,67275002847511.56,81568954723065.83,11.90417759752655,5.125955182547939,39.95343942597577,2885760.0,0.0023225721127223,0.1,8.0,6.954868173750826e-07,100.0,65873214228012.41,0.0007994104501725,0.0023225721127223,0.1,8.0,6.954868173750826e-07,100.0,360720.0,1000000.0,0.341218,0.0,1000000.0,0.296043,0.0,1000000.0,0.27199,0.0,6.0149128e-14
23,11116922398292.648,10441235968967.9,11895683302245.283,4.427790642553146,2.4413755666235444,12.287532118483984,8015040.0,0.0008035035168924,0.1,12.0,3.8859060604811955e-09,25.0,10822147542187.893,0.0004796888639433,0.0008035035168924,0.1,12.0,3.8859060604811955e-09,25.0,3005640.0,1000000.0,0.215988,0.0,1000000.0,0.171656,0.0,1000000.0,0.146689,0.0,6.3995672e-05
26,3114404060230.091,2882781851207.492,3379203667711.7217,7.23912375402246,4.210181320005642,17.435058255143808,22242240.0,0.0006167308804146,0.1,6.3,2.1452128840321334e-07,0.0,3114404060230.091,0.0002879590619071,0.0006167308804146,0.1,6.3,2.1452128840321334e-07,0.0,4691722.0,1000000.0,0.0711707,0.0,1000000.0,0.0302426,0.0,968913.0,0.00802879,0.0,8.9659525e-08
30,35580630023.82042,32645657746.600147,38973760990.93935,9.754678827232032,6.109665408549256,21.807456295223325,16721280.0,0.0022175934838853,0.1,3.4,1.8791040759778653e-07,0.0,35580630023.82042,0.0003321111973362,0.0022175934838853,0.1,3.4,1.8791040759778653e-07,0.0,391905.0,126977.0,0.0382703,0.0,111203.0,0.0118918,0.0,90596.4,0.00974988,0.0,7.512892599999999e-72
