band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,333444701330276.8,300516945263198.75,370099651630890.7,7.660363503186453,4.77183765026311,10.56713504551453,2880.0,0.0064618968730114,0.1,14.0,2.4498965952863155e-08,25.0,260645505236697.0,0.0252480482623505,0.0064618968730114,0.1,14.0,2.4498965952863155e-08,25.0,46705,1000000.0,0.420781,0.0,1000000.0,0.384435,0.0,1000000.0,0.361013,0.0,0.99970011
5,819938283156712.4,725888055271888.6,921245379890801.0,19.402362376400436,15.954966750450772,23.2813633279436,8640.0,0.0133748651045693,0.1,3.1,0.0045658834757387,100.0,445482236787392.2,0.014591379330558,0.0125550056690988,0.12,2.7,26.788656307905526,125.0,12301,1000000.0,0.412904,0.0,1000000.0,0.375295,0.0,1000000.0,0.351878,0.0,0.13011475
8,174325707606085.16,150763214657652.2,201747375683303.9,30.079570984883155,19.446790481765294,42.54058878390936,24480.0,0.0104254913978704,0.1,6.1,7.732350092570029e-06,350.0,90422287897088.88,0.0086732787358375,0.0099791510805245,0.1,5.9,1.024447121082236e-05,325.0,18360,1000000.0,0.354993,0.0,1000000.0,0.311022,0.0,1000000.0,0.286982,0.0,0.015158779
11,13470308019821.115,10790951854379.545,18193634758808.83,111.27512389522276,12.746414370379105,303.04317262927776,67680.0,0.0035438982524946,0.2,8.5,24307.43620511325,200.0,9224701208763.924,0.0052178990254114,0.0035438982524946,0.2,8.5,24307.43620511325,200.0,152280,1000000.0,0.216803,0.0,1000000.0,0.173185,0.0,1000000.0,0.14813,0.0,0.36229365
14,210317515796253.25,185497484590228.12,237838636115069.47,21.095875021739992,14.89196350994981,31.759671002785858,187200.0,0.0221642593799102,0.1,-0.1,46.003851263846265,50.0,198136804897763.25,0.0031380148313681,0.0217813298674848,0.1,-0.13,56.43832217636883,25.0,3699,1000000.0,0.197937,0.0,1000000.0,0.151669,0.0,1000000.0,0.127634,0.0,1.3964557999999996e-77
17,397442867168409.5,372386158703581.6,424853832215066.8,4.485500868850188,2.9684629251384567,8.68849885800456,519840.0,0.0084755976308954,0.1,6.0,3.966808139309801e-05,0.0,397442867168409.5,0.0018833128424659,0.0084755976308954,0.1,6.0,3.966808139309801e-05,0.0,26019,1000000.0,0.406874,0.0,1000000.0,0.371714,0.0,1000000.0,0.348527,0.0,7.282297400000002e-33
20,100914320150986.6,93513398311546.06,109443544674482.88,7.096150305305166,4.153750752847242,17.413889316013883,1442880.0,0.0015232540486563,0.1,6.8,3.725127459980338e-06,25.0,97471927253730.62,0.001130503234731,0.0015232540486563,0.1,6.8,3.725127459980338e-06,25.0,811620,1000000.0,0.357435,0.0,1000000.0,0.313661,0.0,1000000.0,0.28966,0.0,0.0024695838
23,10926466619019.98,10272693949396.762,11679770117540.89,4.1626993551466045,2.253619989484913,11.547590597824128,4007520.0,0.0009892423916667,0.1,14.0,9.850284052527323e-10,50.0,10479757670326.943,0.0006783703088241,0.0009892423916667,0.1,14.0,9.850284052527323e-10,50.0,1902006,1000000.0,0.21876,0.0,1000000.0,0.174396,0.0,1000000.0,0.149436,0.0,0.00078405252
26,1913935898325.405,1799400350679.32,2043673279601.3376,4.036084483054169,2.3762181084034193,10.506545809844065,11121120.0,0.0004839793919398,0.1,10.0,3.23223913742876e-09,0.0,1913935898325.405,0.0004072312197337,0.0004839793919398,0.1,10.0,3.23223913742876e-09,0.0,8340840,1000000.0,0.041434,0.0,1000000.0,0.0134125,0.0,825839.0,0.012782,0.0,0.010920539
30,24334173515.2429,22446923494.95317,26411300542.93933,7.790594109787522,5.248074254706088,15.419884867460112,8360640.0,0.0020440279557855,0.1,4.8,1.2091160758962412e-08,25.0,23527051456.21776,0.0004696703183341,0.0020440279557855,0.1,4.8,1.2091160758962412e-08,25.0,440892,112894.0,0.0321382,0.0,98012.1,0.00742178,0.0,80394.1,0.00465987,4.080079999999998e-158,9.111831400000003e-31
