band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,290481892974556.25,259705883747679.8,325560938497768.4,9.355459314694611,5.162749540963783,13.22610283266708,2880.0,0.0070548887989571,0.2,13.0,100000.0,0.0,290481892974556.25,0.0252480482623505,0.0070548887989571,0.2,13.0,100000.0,0.0,36904.0
5,457324141300332.6,378345697308662.9,545493141152538.4,48.45519564717139,40.60502543023664,56.28557203750822,8640.0,0.010578768842336,0.1,7.3,3.82767287080473e-06,100.0,156521089888725.25,0.01459137933055801,0.009650980970255543,0.12,7.3,0.029892283934390435,125.0,19440.0
8,80896687420698.11,65501849257384.88,99566972030181.69,64.66168959043839,38.62347114442264,90.36974811218197,24480.0,0.0056263185262247,0.2,9.7,60626.88843368562,200.0,41022034479863.445,0.008673278735837538,0.00533917764331561,0.18,9.8,3466.7679572313523,175.0,61965.0
11,8118773388848.815,7500390092541.336,9011516961209.531,10.821601854392576,1.9447671222432008,31.858465176315764,67680.0,0.0018373660232672,0.2,18.0,755.2409316455603,100.0,7361758225193.573,0.005217899025411498,0.0018373660232672,0.2,18.0,755.2409316455603,100.0,578187.0
14,205367930545635.0,178417800427767.3,236710429662440.88,27.908863672344705,17.31394990860392,49.301247073222974,187200.0,0.0210649437080176,0.1,-0.1,41.14624934354556,100.0,205367930545635.0,0.0031380148313681173,0.020723927052613944,0.08,0.2,0.00029474003965916575,0.0,4387.0
17,388573155934066.5,362320290474240.4,417416590307776.7,5.466049986467281,3.6093520743490703,9.266543452485758,519840.0,0.0086165376187008,0.1,5.3,9.76125695624454e-05,0.0,388573155934066.5,0.0018833128424659345,0.0086165376187008,0.1,5.3,9.76125695624454e-05,0.0,24367.0
20,105501761645936.2,96971415987175.06,115531473520457.8,9.238366547947416,5.192424904973426,23.42446263252816,1442880.0,0.0022675777542063,0.1,5.6,1.6583454067153913e-05,50.0,99082664965249.69,0.0011305032347310806,0.0022675777542063,0.1,5.6,1.6583454067153913e-05,50.0,360720.0
23,10325747762119.2,9608832356896.29,11241546506580.568,7.13582044089495,2.9483501151887483,23.809514114971737,4007520.0,0.0010120006227627,0.1,12.0,3.503448377602963e-09,50.0,9757012819852.633,0.0006783703088241033,0.0010120006227627,0.1,12.0,3.503448377602963e-09,50.0,1902006.0
26,4818804752607.261,4519782134393.903,5148273114257.034,4.349166906385114,2.838751046254097,8.808062225842855,11121120.0,0.0003996630873828,0.1,8.7,2.5764619606379744e-08,0.0,4818804752607.261,0.0004072312197337857,0.0003996630873828,0.1,8.7,2.5764619606379744e-08,0.0,11121120.0
30,64015836146.25254,58946078546.19503,69749654389.5789,8.475053780310185,5.367546187827046,19.053446238871945,8360640.0,0.0029847473605019,0.1,3.8,1.6407387711695926e-07,0.0,64015836146.25254,0.0004696703183341334,0.0029847473605019,0.1,3.8,1.6407387711695926e-07,0.0,209250.0
