band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,361354271985990.2,320798738387083.44,406107622654272.75,9.142670917849498,6.224052234485699,11.80554561200713,2688.0,0.0084329373141272,0.1,14.0,2.5270425613981507e-08,25.0,268853096264367.44,0.026132054631401,0.0084329373141272,0.1,14.0,2.5270425613981507e-08,25.0,25833,1000000.0,0.424958,0.0,1000000.0,0.390327,0.0,1000000.0,0.36676,0.0,0.99017271
5,755779683027149.8,667715845985644.8,849226484750315.9,19.873395552696017,16.942109893351347,22.943186694780135,8064.0,0.0154713543669553,0.1,3.3,0.0022679607701673,150.0,388393054446422.94,0.0151028009420525,0.0146328483172309,0.09,3.6,5.034482370547987e-06,125.0,9072,1000000.0,0.403971,0.0,1000000.0,0.36572,0.0,1000000.0,0.342064,0.0,0.06265951
8,180852878610569.2,157654028596631.47,206359231815582.3,25.475584141179606,19.418336130875034,32.40262705102779,22848.0,0.0119880975523445,0.1,5.2,2.537247964405115e-05,350.0,87884854809281.3,0.0089774468095933,0.0119880975523445,0.1,5.2,2.537247964405115e-05,350.0,12852,1000000.0,0.349986,0.0,1000000.0,0.305285,0.0,1000000.0,0.281259,0.0,0.0027887325
11,10579923578931.871,9763951020942.707,11608797400861.787,9.40412830529492,3.364547285029867,22.641049572436675,63168.0,0.0025767399610441,0.2,10.0,12513.436045668315,150.0,9318537242809.846,0.0054009486572434,0.0025767399610441,0.2,10.0,12513.436045668315,150.0,269820,1000000.0,0.22155,0.0,1000000.0,0.177444,0.0,1000000.0,0.15257,0.0,0.79467174
14,159597475678128.6,132169963277983.28,191867093287758.4,50.64115644327266,31.101517083003532,83.56528243401,174720.0,0.0254567573230771,0.1,0.1,6.387581585228644,500.0,69454804083928.43,0.0032481214875871,0.0237950748531966,0.09,0.4,0.0133471736668836,600.0,3274,1000000.0,0.161619,0.0,1000000.0,0.115001,0.0,1000000.0,0.0906075,0.0,2.270653999999999e-86
17,399360220538642.75,372088920576059.94,428998493437714.2,5.592850121550612,3.742510988428031,9.274131236787213,485184.0,0.0124089445821433,0.1,4.3,0.0004437714975977,0.0,399360220538642.75,0.0019494023240896,0.0124089445821433,0.1,4.3,0.0004437714975977,0.0,11371,1000000.0,0.393576,0.0,1000000.0,0.357206,0.0,1000000.0,0.333854,0.0,2.5313342999999998e-65
20,126341034973569.2,116791879852107.77,137240330448133.94,7.696340562570194,4.559319152027396,17.831332959834647,1346688.0,0.0015407837901349,0.1,6.0,1.2157346340364153e-05,25.0,121807015035378.28,0.0011701778190289,0.0015407837901349,0.1,6.0,1.2157346340364153e-05,25.0,757512,1000000.0,0.364101,0.0,1000000.0,0.321082,0.0,1000000.0,0.29712,0.0,0.0033392995
23,13958546446719.416,13064071545181.982,15007627462823.148,5.143166710432267,2.566482911135922,14.589870985564254,3740352.0,0.0008845650919526,0.1,12.0,4.857939768594166e-09,25.0,13529236195760.729,0.0007021784679013,0.0008845650919526,0.1,12.0,4.857939768594166e-09,25.0,2366941,1000000.0,0.236483,0.0,1000000.0,0.190922,0.0,1000000.0,0.166254,0.0,0.0057373388
26,3500124268000.5537,3256699904306.3716,3775107148003.366,6.2791092397074255,3.885506393888764,13.78279590611988,10379712.0,0.0012054034654216,0.1,7.5,5.995924111658011e-08,25.0,3389740885383.7754,0.0004215238144443,0.0012054034654216,0.1,7.5,5.995924111658011e-08,25.0,1297464,1000000.0,0.0839244,0.0,1000000.0,0.047248,0.0,1000000.0,0.0186432,0.0,1.5881317e-13
30,43210000253.40086,39037677186.32568,48204436938.56588,14.699234895974444,8.259990459473135,36.812460548264816,7803264.0,0.0038569081748244,0.1,3.6,1.392623037119254e-07,100.0,38100752397.65249,0.0004861542418018,0.0038569081748244,0.1,3.6,1.392623037119254e-07,100.0,121926,133993.0,0.0374672,0.0,117223.0,0.0126987,0.0,95157.2,0.00735154,0.0,2.9832311999999984e-101
