band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,2688.0,0.1,14.0,0.0084329373141272,25.0,0.1,14.0,2.5270425613981507e-08,0.0084329373141272,25.0,25833
5,8064.0,0.1,3.3,0.0154713543669553,150.0,0.09,3.6,5.034482370547987e-06,0.014632848317230995,125.0,9072
8,22848.0,0.1,5.2,0.0119880975523445,350.0,0.1,5.2,2.537247964405115e-05,0.0119880975523445,350.0,12852
11,63168.0,0.2,10.0,0.0025767399610441,150.0,0.2,10.0,12513.436045668315,0.0025767399610441,150.0,269820
14,174720.0,0.1,0.1,0.0254567573230771,500.0,0.09,0.4,0.013347173666883698,0.02379507485319665,600.0,3274
17,485184.0,0.1,4.3,0.0124089445821433,0.0,0.1,4.3,0.0004437714975977,0.0124089445821433,0.0,11371
20,1346688.0,0.1,6.0,0.0015407837901349,25.0,0.1,6.0,1.2157346340364153e-05,0.0015407837901349,25.0,757512
23,3740352.0,0.1,12.0,0.0008845650919526,25.0,0.1,12.0,4.857939768594166e-09,0.0008845650919526,25.0,2366941
26,10379712.0,0.1,7.5,0.0012054034654216,25.0,0.1,7.5,5.995924111658011e-08,0.0012054034654216,25.0,1297464
30,7803264.0,0.1,3.6,0.0038569081748244,100.0,0.1,3.6,1.392623037119254e-07,0.0038569081748244,100.0,121926
