band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,399738173453576.0,367837203604726.3,433621504556627.0,8.308722966625368,6.349554555902802,10.111189885960911,5760.0,0.0070317022952564,0.1,14.0,2.8668072289415904e-08,50.0,305000798826111.1,0.017865318267024,0.0070317022952564,0.1,14.0,2.8668072289415904e-08,50.0,36904.0,1000000.0,0.425844,0.0,1000000.0,0.393958,0.0,1000000.0,0.371064,0.0,0.93631684
5,945656165036656.4,831657957591686.8,1067561272343454.0,21.407479949345888,18.436008373826063,24.57948690091596,17280.0,0.0138842176640014,0.1,3.2,0.0033971793130699,300.0,458371390407757.3,0.0103217098273475,0.013776813780806,0.1,3.0,0.0052783578319947,275.0,9720.0,1000000.0,0.409135,0.0,1000000.0,0.371398,0.0,1000000.0,0.347678,0.0,0.0028067197
8,193337386994184.88,166582671403546.28,223101493435237.2,30.033635593740065,21.827850173086148,39.76688842824701,48960.0,0.0132697858728574,0.1,4.0,0.0001942410103212,500.0,99444414199683.69,0.0061343550472508,0.0116439431580457,0.11,3.9,0.0207475683193977,600.0,13770.0,1000000.0,0.349521,0.0,1000000.0,0.305685,0.0,1000000.0,0.281671,0.0,3.4022029e-06
11,14489920729337.732,11603364599790.31,19424137585991.65,109.84356205552012,14.069253384018618,286.78017685519904,135360.0,0.0039061087629816,0.2,8.5,25382.90385800427,250.0,9746969580144.598,0.0036901241493563,0.0037331397755827,0.19,8.7,6255.011311870448,225.0,135360.0,1000000.0,0.222255,0.0,1000000.0,0.178004,0.0,1000000.0,0.152947,0.0,0.045858116
14,412689750530409.6,376974253521172.56,452601957120810.8,10.756559776232583,7.435287853780985,16.709612531287277,374400.0,0.0186234203987732,0.1,1.3,0.3264897871435809,0.0,412689750530409.6,0.0022190964677557,0.0186234203987732,0.1,1.3,0.3264897871435809,0.0,5551.0,1000000.0,0.337802,0.0,1000000.0,0.295785,0.0,1000000.0,0.271933,0.0,3.143500999999998e-113
17,388133983197902.8,365608444984016.94,412038501858688.8,3.3762457700868795,2.2750814842985863,6.317527096897854,1039680.0,0.0019859594097507,0.1,10.0,6.554774651314274e-07,0.0,388133983197902.8,0.0013317697932839,0.0019859594097507,0.1,10.0,6.554774651314274e-07,0.0,493441.0,1000000.0,0.424459,0.0,1000000.0,0.391069,0.0,1000000.0,0.368199,0.0,0.00054799467
20,73429196979630.02,67274983797368.28,81569000884650.33,11.90397530809521,5.125786546259029,39.95167183651686,2885760.0,0.0023249047732338,0.1,8.0,6.954867464330539e-07,100.0,65873207508719.766,0.0007994104501725,0.0023249047732338,0.1,8.0,6.954867464330539e-07,100.0,360720.0,1000000.0,0.341221,0.0,1000000.0,0.296043,0.0,1000000.0,0.271986,0.0,5.6500892e-14
23,11116908810624.562,10441206470144.557,11895659922890.045,4.427662634674905,2.441345690367516,12.286132214476416,8015040.0,0.000806665753099,0.1,12.0,3.885902882834582e-09,25.0,10822138692524.531,0.0004796888639433,0.000806665753099,0.1,12.0,3.885902882834582e-09,25.0,2853009.0,1000000.0,0.215987,0.0,1000000.0,0.171657,0.0,1000000.0,0.146693,0.0,5.8979647e-05
26,3114404628355.0464,2882783267264.8022,3379203914564.9385,7.239103958628695,4.210164701129943,17.434986621819256,22242240.0,0.0006159931037833,0.1,6.3,2.1452132753586765e-07,0.0,3114404628355.0464,0.0002879590619071,0.0006159931037833,0.1,6.3,2.1452132753586765e-07,0.0,4691722.0,1000000.0,0.0711709,0.0,1000000.0,0.0302413,0.0,968909.0,0.00802875,0.0,9.3361351e-08
30,35580601947.2557,32645639787.53977,38973767901.78729,9.75473651736742,6.109576443262327,21.808614343919874,16721280.0,0.002217852236246,0.1,3.4,1.879102593182671e-07,0.0,35580601947.2557,0.0003321111973362,0.002217852236246,0.1,3.4,1.879102593182671e-07,0.0,391905.0,126977.0,0.0382682,0.0,111202.0,0.0118921,0.0,90597.0,0.00974909,0.0,7.229999499999999e-72
