band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500
2,399738173453576.0,399738173453575.94,334786010061359.5,305000798826111.1,283675233593068.44,267397309683986.2,244889428600906.1,227491145275750.44,213091508141804.4,200923490178651.28,190479650069045.22,165335524467965.8,0.010126584678850636,0.007904833143595025,0.0070317022952564034,0.012884680410620464,0.013576612808272936,0.019187553306629558,0.024879642734479956,0.029649609044511083,0.0337084656954838,0.037171727194557413,0.049840967974616124
5,945656165036656.4,945656165036656.4,847850002963472.4,773542554662382.6,716381221091433.0,668554128327701.9,588351047198110.8,526970015767319.0,479336248260647.2,438952489188379.1,404470136215554.06,329085678614271.2,0.029413834102668845,0.026714391814811222,0.024152289875171706,0.02344319390005696,0.022275668908309232,0.01909230794713157,0.017162723753593068,0.014792132040520767,0.013884217664001497,0.015753197636195204,0.02021140399257315
8,193337386994184.88,193337386994184.88,179621729269231.0,170498044758775.88,163185815249592.62,156761362491342.88,146141650303648.25,137823498245650.55,131131541835187.75,125296469922061.48,120032683320411.72,106767679553032.34,0.020979091623888682,0.020979091623888682,0.020979091623888682,0.020979091623888682,0.020979091623888682,0.020630420932037707,0.019515701544696895,0.018524671001470483,0.017483470428464876,0.01625965480454694,0.013269785872857431
11,14489920729337.732,14489920729337.732,11905262494295.48,11151238509135.34,10801717529559.436,10547940426848.91,10160124142899.877,9870606738057.193,9632842473597.25,9424394802733.986,9236693292447.531,8782992781069.074,0.0073770252097917766,0.0073770252097917766,0.0073770252097917766,0.007300585599398113,0.006585023921235167,0.005212466930735404,0.004046019726596128,0.003906108762981631,0.004261406499835826,0.004648675247377311,0.0057580823131031245
14,412689750530409.6,412689750530409.6,395730947636239.9,385827510519148.6,377823629680872.94,370937187943501.75,359225824917765.06,349065852556903.4,340043807282654.6,331896043467986.75,324400633195478.7,304961758553423.2,0.018623420398773224,0.01916714322088997,0.02073003413592188,0.020131975817907363,0.021265774353277922,0.021545346413667954,0.02220765817431547,0.023304845633315738,0.023446974393372233,0.024013562719609305,0.02587102657383311
17,388133983197902.8,388133983197902.75,379648016700574.1,374389437469753.1,370009231629504.0,366129447138125.1,359323142775186.6,353318745171177.56,347909077327675.75,342960627084468.75,338373832929290.4,326156210028118.2,0.0019859594097507427,0.0028560729787096006,0.0031679499189101873,0.0037256578900336512,0.003721326023717962,0.004579641198904645,0.005382886156850973,0.006301100547935326,0.007275547690725442,0.008268616076261143,0.011525152807935785
20,73429196979630.02,73429196979630.02,69940406449053.59,68280788061372.625,66977069311573.86,65873207508719.766,64014059626106.63,62454843325660.02,61098298027753.78,59881996671830.54,58776957193021.24,55946362205904.3,0.005581284534279141,0.004045085277233684,0.0033532457907795993,0.002659799199432711,0.0023249047732338823,0.002989955478182482,0.0037339656775989064,0.004454481014970056,0.005245439080617118,0.0060060631595819924,0.008105059447825913
23,11116908810624.562,11116908810624.562,10822138692524.531,10656676471643.203,10520752989694.668,10401404782426.166,10194910946652.328,10016458349942.355,9856979789975.633,9712074667622.008,9578425511310.688,9226030948155.172,0.0016815297862659007,0.0008066657530990673,0.0012154062743041233,0.001579385974883142,0.0020560251005712973,0.0028761513428168864,0.0037640547564112836,0.004593054366116012,0.005380556493071231,0.00612939388050493,0.008255498501102625
26,3114404628355.0464,3114404628355.0464,3005856376742.2295,2945055133508.804,2895882632552.6255,2853403802684.001,2780955235687.8193,2719340956763.441,2665130915963.818,2616353143549.575,2571733877425.426,2455849259348.191,0.0006159931037833521,0.0009964667301090024,0.001711933799751722,0.0023826728266552882,0.002966941338423776,0.0039906431953988936,0.004904176791039952,0.005786424527152882,0.006460143420931375,0.006985327313201624,0.009187117936521876
30,35580601947.2557,35580601947.2557,34207040619.727795,33423683085.93554,32781092271.73967,32221181757.562145,31260855615.70545,30439693644.851498,29713853004.90812,29057218967.869473,28455379648.344185,26891431997.656746,0.002217852236246043,0.0032851302244866626,0.0031293648507831895,0.0036768849262063252,0.004169789562749271,0.005242026820453827,0.006194549581561182,0.006980987597304367,0.007718190331390762,0.008500143896931413,0.010579387884914783
