band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500
2,266522368650917.72,266522368650917.75,230232592503653.62,216046040919192.75,206519609739155.25,198636546429226.94,185359495818775.3,174855565292471.47,166277282912751.25,158803785224093.66,151935093733350.1,133658162245458.88,0.007335617969841501,0.012672199516132576,0.009132269934211443,0.011994246772576322,0.014768831694494722,0.01945641520672159,0.024394249722363814,0.030113117937616535,0.0353183409566053,0.04029703472065199,0.05453682120857706
5,536025719268664.1,536025719268664.1,446411753856743.9,387286240726270.94,343227779722686.9,310101256154207.3,265740785328515.66,235089960709349.22,213135025832837.72,197195902131133.8,184239648557584.25,157176642157332.8,0.016387934366620893,0.016387934366620893,0.016387934366620893,0.016387934366620893,0.016387934366620893,0.013661381165205738,0.010071556055393893,0.009293790810702918,0.010219501919741424,0.011131166803106688,0.01513413229305327
8,80929575121814.3,80929575121814.3,68296194052242.91,61475890451584.74,57044106022097.68,54787129323420.23,51695329736427.02,49509764602000.83,47820210352918.67,46416375140684.42,45241967136618.07,42578264414647.26,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.00544177635517825,0.005586226091918161,0.006706088158458912
11,11113439922545.902,11113439922545.902,8612375921086.255,8037811727832.593,7781350681813.392,7605414308387.79,7362052050481.136,7179704541683.3,7031680591122.249,6907034018345.255,6801853978274.997,6549803564754.049,0.009889966240442305,0.009889966240442305,0.007443687372320151,0.005824312780146501,0.0049118390750068075,0.003011315971154671,0.0029639917464002255,0.003235957956770065,0.0034998261077231474,0.004063265425166829,0.008361643174872313
14,249970596870297.6,249970596870297.6,239843441194254.9,233310582778902.88,227866337181533.47,223053891819819.7,214735141687146.62,207560674592408.56,201158314830241.25,195360123645751.25,189995333771439.06,175979674719730.94,0.028915551039758736,0.028281428006478482,0.02929804713209827,0.030163261759483077,0.030982495484558933,0.029870350353988162,0.031126361132278624,0.03227442974778107,0.0313526918142123,0.03220598875633413,0.03310012626489445
17,387474826373504.5,387474826373504.44,377544663025774.5,371604464868735.56,366749962019375.9,362528303875825.3,355210085782837.9,348878794442925.0,343157479976412.56,337945377290667.8,333113809272582.8,320214357361047.7,0.0050427685355860785,0.005786199445510398,0.006214933456066052,0.006646575429003834,0.006943734127645734,0.007618529877409519,0.00833414376236652,0.008978322909193093,0.009885942074846665,0.010380392954768114,0.012001598179689224
20,82777478328245.72,82777478328245.72,80092352056879.16,78522944962013.62,77235037540635.06,76109117027612.95,74179954590283.33,72519491154221.64,71044035608842.92,69710201642723.65,68481916788888.125,65271658814934.59,0.0032395398695443944,0.0023513187767729704,0.0018893500907371033,0.002330677946183097,0.002811476414264203,0.003743585679335283,0.004599373074526812,0.005394045188066965,0.006153425271546699,0.006891689114321722,0.009009287790218923
23,7691878926150.648,7691878926150.648,7521198094883.575,7422553144794.22,7340983475138.608,7269467074347.31,7145338584919.625,7037578326326.865,6940902246190.671,6852386734485.431,6770274913075.26,6551587838913.35,0.0014342481812633645,0.000536234338275321,0.0009195481552510265,0.001397255854932368,0.0019412808630658376,0.0029120299479522965,0.003787194274738441,0.004601766243511295,0.0053724612463035,0.006100963923875824,0.008135296335777059
26,3254720207994.7803,3254720207994.7803,3158796851659.086,3105253630330.13,3061200900876.104,3022639793553.7627,2955770284693.475,2898025040651.872,2846632691537.24,2799887076572.2065,2756777198377.1235,2643550302126.9,0.0006344780320738513,0.0017177367674614114,0.0024080166193440264,0.0030318885049863895,0.0035251947473599887,0.004506889848724278,0.0052516859137123895,0.005793529160035497,0.00657054978104659,0.00733502099446328,0.009451206277527338
30,45080925821.65863,45080925821.65863,43570598164.18209,42680612678.31936,41942865724.24699,41293569175.93313,40167928205.39759,39195946064.12655,38329728698.66411,37542478580.983055,36818018940.6404,34917729284.64939,0.002425260287760689,0.0026665436941840023,0.003324317239831988,0.004078818582642023,0.0045351165105883134,0.005560405051838302,0.006307592526450086,0.007173869132505346,0.007981731183969484,0.008615278997651597,0.010680186422320923
