band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,5760.0,0.1,11.0,0.0060131907359718,25.0,0.1,11.0,2.127346878678989e-07,0.0060131907359718,25.0,49207
5,17280.0,0.1,3.5,0.0125350957937426,250.0,0.09,3.9,3.3453938021166393e-06,0.011788223047894137,225.0,12960
8,48960.0,0.1,4.9,0.0128920076981623,500.0,0.11,4.9,0.004613832430485706,0.011297341766105806,600.0,13770
11,135360.0,0.2,8.4,0.0034754489566821,200.0,0.2,8.4,25508.218037840485,0.0034754489566821,200.0,152280
14,374400.0,0.1,-0.1,0.0221650292150241,50.0,0.1,-0.11,48.636568294726075,0.021884028220400253,50.0,3699
17,1039680.0,0.1,6.0,0.0084968542632998,0.0,0.1,6.0,3.9670451087810894e-05,0.0084968542632998,0.0,24367
20,2885760.0,0.1,6.8,0.0015194315869905,25.0,0.1,6.8,3.725158374129298e-06,0.0015194315869905,25.0,811620
23,8015040.0,0.1,14.0,0.0009862500608207,50.0,0.1,14.0,9.850297696092319e-10,0.0009862500608207,50.0,2003760
26,22242240.0,0.1,10.0,0.0004841398773227,0.0,0.1,10.0,3.23224801160863e-09,0.0004841398773227,0.0,8340840
30,16721280.0,0.1,4.8,0.0020452516174021,25.0,0.1,4.8,1.2091170110103288e-08,0.0020452516174021,25.0,440892
