band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,409699152231640.4,409699152231640.4,303894002959586.5,264975511008135.2,242554821434967.25,225449787939794.84,197500010203070.9,177100405362991.03,160700142539945.28,146448519599667.9,134265921935483.7,104716755002155.6,0.0107106330220552,0.0078741294205073,0.0148249004974513,0.019631951150684,0.0249254896966222,0.0340254587924383,0.0412499834448137,0.0495411648409307,0.0582320512588513,0.0666894348786543,0.0939720396464643,0.030214966423684264,0.025468643439552352,0.020437660456656737,0.01420727085777862,0.007874129420507373,0.03239325886492922,,,,
5,914469442114363.2,914469442114363.2,756100377512111.8,655948703075689.2,580228515763631.4,523636706312746.8,441861713224654.2,379425062032637.7,333469489491672.8,297212427401078.9,267294941825656.47,204733942846359.44,0.0281898066832675,0.0251147767246953,0.0223442642573539,0.0194029817188816,0.0177592301870762,0.0149611340038203,0.0184631458498969,0.0212256035011528,0.0237953078410836,0.026095895404556,0.0324794332260538,0.021184034607426072,0.01982856420858528,0.018401917912929475,0.016707309521712732,0.014961134003820362,0.01604455754057099,0.01724840454164235,0.019403039267755037,0.021064398250273078,
8,187586356018590.44,187586356018590.44,167745349342270.53,155433791902536.72,145611732177844.8,137076952407300.48,124053644195673.08,114298370579362.4,106123160795193.95,99194175181033.05,93385775831265.56,79511827332560.03,0.0217325730005995,0.0217325730005995,0.0209840933231166,0.0192700637739369,0.0185093036206772,0.0156460936304478,0.0137208801664634,0.0120229668215481,0.0104547846498797,0.0105969326338868,0.0134273136162842,0.011573642711884333,0.011070505635893735,0.010591845262494909,0.010034416681033775,0.01045478464987977,0.010972135523771201,0.011850720751229504,0.012846698722819072,0.013361054826486307,96192115553072.61
11,14522115882440.965,14522115882440.965,11744645475628.04,11069206056632.455,10793861822834.691,10573617227912.826,10217050210921.37,9943359231591.334,9709945548549.271,9502044913928.61,9312308080245.082,8851346381866.762,0.0069477658942479,0.0069477658942479,0.0069477658942479,0.0069477658942479,0.0065512318379026,0.0055295447565816,0.0045028012186572,0.0039874776582751,0.0043819789330872,0.0048274945604869,0.0059850738506366,0.005322004229033367,0.004603227114580893,0.004382487800601019,0.0041818487903714325,0.0039874776582751546,0.004048877598803402,0.00409975422800013,0.00409975422800013,0.00409975422800013,
14,415582793507602.3,415582793507602.3,397377662636893.6,387280759494476.7,379321185005830.9,372481590121359.8,360766577918050.4,350652303090715.06,341591298639529.8,333353552247678.06,325709448403866.7,306059796079062.44,0.0183410692373468,0.0193427238929753,0.0206455108000473,0.0203272029616879,0.0211549747101791,0.0214353189179564,0.0225054682986486,0.0231852455846684,0.0233143443666876,0.0242821978088488,0.0259022496991505,0.02021830468469088,0.019816937040377278,0.019420935300553083,0.019019356859073203,0.018341069237346824,,,,,
17,388027876234685.8,388027876234685.8,379773595072743.2,374494509593676.9,370118007864056.0,366218511697899.6,359369538106721.6,353331595593607.0,347930059261256.75,342984618369752.06,338406997379829.6,326199269530108.4,0.0019092633611535,0.0028330625551195,0.002949677619043,0.0037476842328781,0.0036777962387965,0.0045476209227035,0.0053597268314564,0.0062602699232219,0.0072652756780152,0.0082475012658124,0.0113138695897439,0.003552725060998907,0.003371941945614798,0.002619963478629153,0.002111615372978201,0.0019092633611535459,,,,,
20,73351500512577.0,73351500512577.0,69974988569769.805,68302545307386.42,66998842534475.016,65902536469082.61,64053269306257.12,62496302066470.52,61140960092402.9,59926863875366.63,58827683798103.03,56008088091026.98,0.0054884620530908,0.0040365465632482,0.0033080444471555,0.0026550180347302,0.0023634267316527,0.0030188798048414,0.0037610998519068,0.004485412295475,0.0052563908186442,0.0059986431571794,0.0081214482611735,0.003748969641786875,0.0033871788213437823,0.0030188798048414733,0.0027216772489952364,0.0023634267316527922,0.0026550180347302277,0.003161121879408868,0.003975004633220203,0.00521735692251335,
23,11111735765054.053,11111735765054.053,10827336492063.346,10661376101505.297,10525184741757.57,10405892017051.012,10199957219662.615,10021750400806.137,9862273933109.305,9717119595554.684,9583294204380.95,9230410250812.19,0.0017791882283572,0.0008322879301455,0.0012332197040311,0.0015811660930746,0.0020716365253423,0.0028552387978496,0.0037364551266721,0.0045742423090765,0.0053652060072116,0.0061203412055764,0.0082501864418907,0.002583941625903363,0.002091724442466851,0.001640802793600571,0.0020580331201618396,0.0008322879301455588,0.0030147067007204598,,,,
26,3111699303808.8027,3111699303808.8027,3004327364823.219,2943625731742.702,2894347588943.9443,2851882703568.131,2779523109422.4536,2717979176532.093,2663865605065.9395,2615173348157.675,2570624997141.036,2454907020909.184,0.0005988964120596,0.0009306694987523,0.0017140961024498,0.0023803766093936,0.0029632860853425,0.0039912735768208,0.0049101498218636,0.0057844409137371,0.0064009849714903,0.006988910969019,0.0091882956814349,0.0028601755079994406,0.002235986668163492,0.0016356603736036313,0.0008320030426816685,0.0005988964120596796,,,,,
30,35571645347.56327,35571645347.56327,34199305143.32397,33416389470.15209,32774415166.66203,32213894475.00449,31253567065.83681,30433182860.95021,29708090199.221146,29051874676.520206,28449947776.179447,26885556148.976803,0.0022122691793789,0.0032690038123599,0.0031190553003077,0.0036713309505507,0.0041644184662006,0.0052265164134381,0.006175916473708,0.0070488468828407,0.0076902728660731,0.0084838817645674,0.0105644689738692,0.005027905896608578,0.004435594552384681,0.003984829819083123,0.003153000018610373,0.002212269179378966,,,,,
