band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,409699152231640.4,364850015419388.25,459241128082888.8,9.640336156937057,6.897135431516675,11.989658125977154,2880.0,0.0078741294205073,0.1,12.0,1.091191506344781e-07,25.0,303894002959586.5,0.0252480482623505,0.0078741294205073,0.1,12.0,1.091191506344781e-07,25.0,31137.0,1000000.0,0.425352,0.0,1000000.0,0.390705,0.0,1000000.0,0.368011,0.0,0.99350751
5,914469442114363.2,807959889215405.0,1028007412800135.4,19.908323422492128,17.24547353320401,22.675574033931724,8640.0,0.0149611340038203,0.1,3.2,0.0034196946329657,150.0,441861713224654.2,0.014591379330558,0.0149611340038203,0.1,3.2,0.0034196946329657,150.0,8640.0,1000000.0,0.409596,0.0,1000000.0,0.371703,0.0,1000000.0,0.348045,0.0,0.041386224
8,187586356018590.44,163131531977309.12,215305632268845.1,26.98387298321561,19.863987122722,37.38149319826414,24480.0,0.0104547846498797,0.1,4.5,8.039013794200886e-05,300.0,96192115553072.6,0.0086732787358375,0.0100344166810337,0.11,4.1,0.0147700168549576,325.0,18360.0,1000000.0,0.348654,0.0,1000000.0,0.304158,0.0,1000000.0,0.280102,0.0,0.014359163
11,14522115882440.965,11565350778031.805,19464521915032.992,109.62290086007144,12.938996630279336,280.7021184283135,67680.0,0.0039874776582751,0.2,8.1,31134.07397750536,250.0,9709945548549.271,0.0052178990254114,0.0039874776582751,0.2,8.1,31134.07397750536,250.0,114210.0,1000000.0,0.221654,0.0,1000000.0,0.177678,0.0,1000000.0,0.152622,0.0,0.23147317
14,415582793507602.3,378522811113651.7,456521399734325.3,11.194836660757048,7.528968968489018,17.312185307136154,187200.0,0.0183410692373468,0.1,1.3,0.3287785500329109,0.0,415582793507602.3,0.0031380148313681,0.0183410692373468,0.1,1.3,0.3287785500329109,0.0,5551.0,1000000.0,0.337993,0.0,1000000.0,0.295818,0.0,1000000.0,0.27196,0.0,3.9259584e-55
17,388027876234685.8,365788099821536.4,411870318085103.0,3.283302667153224,2.285298082920511,5.427009701369333,519840.0,0.0019092633611535,0.1,10.0,6.5529827256831e-07,0.0,388027876234685.8,0.0018833128424659,0.0019092633611535,0.1,10.0,6.5529827256831e-07,0.0,519840.0,1000000.0,0.424586,0.0,1000000.0,0.391229,0.0,1000000.0,0.368349,0.0,0.045136224
20,73351500512577.0,67199600040695.75,81027220243669.25,10.80508850839806,5.106695203866815,31.192039981426813,1442880.0,0.0023634267316527,0.1,8.0,6.957964004485551e-07,100.0,65902536469082.61,0.001130503234731,0.0023634267316527,0.1,8.0,6.957964004485551e-07,100.0,342400.0,1000000.0,0.341296,0.0,1000000.0,0.296032,0.0,1000000.0,0.271972,0.0,1.9945722e-07
23,11111735765054.053,10442350313217.916,11861963052292.96,4.109597042970311,2.452098615465142,9.524673345146978,4007520.0,0.0008322879301455,0.1,12.0,3.887769255534669e-09,25.0,10827336492063.346,0.0006783703088241,0.0008322879301455,0.1,12.0,3.887769255534669e-09,25.0,2536008.0,1000000.0,0.216063,0.0,1000000.0,0.171698,0.0,1000000.0,0.146716,0.0,0.0077547359
26,3111699303808.8027,2884798791346.6904,3372835144780.4707,7.1349022428548725,4.19587989507519,16.75167194811392,11121120.0,0.0005988964120596,0.1,6.3,2.1433498379369881e-07,0.0,3111699303808.8027,0.0004072312197337,0.0005988964120596,0.1,6.3,2.1433498379369881e-07,0.0,5278186.0,1000000.0,0.0711479,0.0,1000000.0,0.0302414,0.0,968955.0,0.00803479,0.0,0.00068572763
30,35571645347.56327,32592896608.56031,38962567431.98154,9.748541598463389,6.133867815176423,21.77523880789504,8360640.0,0.0022122691793789,0.1,3.4,1.8786295722446584e-07,0.0,35571645347.56327,0.0004696703183341,0.0022122691793789,0.1,3.4,1.8786295722446584e-07,0.0,391905.0,126930.0,0.0382852,0.0,111155.0,0.0119122,0.0,90562.9,0.0097798,0.0,5.746180000000001e-36
