band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,409699152231640.4,348006953132915.25,481480672618040.44,9.640336156937057,5.704445515882331,12.875194701588661,1440.0
5,914469442114363.2,801064427345791.9,1037220437071860.4,19.908323422492128,17.018914627920807,22.889980505484868,4320.0
8,187586356018590.44,162804875685153.5,214868827160553.72,26.983872983215615,19.902998761281466,37.3603187776164,12240.0
11,14502054247124.256,11560761160300.264,19344921849415.4,108.8134794125483,12.728176686328792,279.1422415821502,33840.0
14,415428583880585.0,378769981623031.44,456264874117445.2,11.157687219279936,7.504376165632283,17.22871779415657,93600.0
17,388000856616634.1,365872331680583.06,411746883889334.5,3.2785964398792435,2.2770599274394354,5.465319432520094,259920.0
20,73347687206759.22,67197974359933.97,81073501612177.81,10.797266414179655,5.088602735082679,31.236320259140797,721440.0
23,11111633183672.066,10443840672968.422,11861485937512.607,4.108979878949088,2.450015278244382,9.551923459243028,2003760.0
26,3111673715826.633,2883549227954.538,3372770457394.043,7.133874646554375,4.1888784085926,16.750527905916694,5560560.0
30,35571392264.8697,32594744082.29343,38965352871.893684,9.747887149272708,6.122534669946474,21.791949190589143,4180320.0
