band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1536.0,0.1,9.8,0.0081372203430145,0.0,0.1,9.8,5.664004367532132e-07,0.0081372203430145,0.0,28023
5,4608.0,0.1,8.1,0.0110653328867984,75.0,0.08,8.1,1.3376161208808535e-12,0.011000335742357092,50.0,15552
8,13056.0,0.2,8.9,0.0060014718115696,0.0,0.2,8.9,100000.0,0.0060014718115696,0.0,49572
11,36096.0,0.2,15.0,0.0030463115545676,150.0,0.18,15.0,79.27911069179063,0.002787061120955836,125.0,231274
14,99840.0,0.1,0.1,0.0283178055878741,25.0,0.12,-0.2,56594.70290197914,0.027127616362232182,25.0,2632
17,277248.0,0.1,7.1,0.0051738573771948,0.0,0.1,7.1,1.0564306606720176e-05,0.0051738573771948,0.0,69312
20,769536.0,0.1,6.9,0.0018610368683823,50.0,0.1,6.9,2.67847512940031e-06,0.0018610368683823,50.0,547843
23,2137344.0,0.2,7.6,0.0005293586634348,25.0,0.2,7.6,31176.24084997236,0.0005293586634348,25.0,6847222
26,5931264.0,0.1,7.4,0.0006515677471151,0.0,0.1,7.4,6.40297977458972e-08,0.0006515677471151,0.0,4448448
30,4459008.0,0.2,1.1,0.002461287372529,0.0,0.19,1.2,18954.65447572203,0.0021488126533579233,0.0,418032
