band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,356830582924206.06,303979769344705.5,419549887350169.25,9.504944156020612,4.874284201801725,13.495807600117551,1440.0,0.0107653998940766,0.1,6.4,2.1785595702315857e-05,0.0,356830582924206.06,0.0356711674760886,0.0107653998940766,0.1,6.4,2.1785595702315857e-05,0.0,16402.0,1000000.0,0.418754,2.64053e-229,1000000.0,0.385774,2.353169999999999e-193,1000000.0,0.363033,1.4941799999999994e-170,0.995644
5,795992728809031.4,702929314931988.2,896735204434566.9,17.53817997598331,14.82367557643727,20.25249619607453,4320.0,0.0138481339563437,0.1,3.2,0.0037252468202476,50.0,481342376688111.7,0.020623821110128,0.0138481339563437,0.1,3.2,0.0037252468202476,50.0,9720.0,1000000.0,0.415392,0.0,1000000.0,0.376886,0.0,1000000.0,0.353546,0.0,0.37541029
8,167064852743775.0,145070326666448.44,191786793268759.7,27.408527447309066,18.534834899272845,40.50757232451469,12240.0,0.0104808755968259,0.1,5.8,1.1765180734384791e-05,150.0,86299174393050.06,0.0122618370593477,0.010448052934567,0.11,5.6,0.001760081360661,175.0,17425.0,1000000.0,0.354378,0.0,1000000.0,0.310486,0.0,1000000.0,0.286498,0.0,0.13718312
11,13554683977432.162,10694750607469.998,18347611845418.94,121.73854610868771,10.967461717650922,309.82004692318185,33840.0,0.0037177683139259,0.2,8.7,21976.917417978537,150.0,9174293185666.123,0.007377771632076,0.0037177683139259,0.2,8.7,21976.917417978537,150.0,128485.0,1000000.0,0.217463,0.0,1000000.0,0.173673,0.0,1000000.0,0.148719,0.0,0.7363492
14,210318286008348.03,185870824657115.7,237847232639999.28,21.08743479126572,14.737431494485218,31.797948437233728,93600.0,0.0225593721862597,0.1,-0.1,44.6557350232442,75.0,191058407060181.8,0.0044372995560441,0.0219961745467728,0.1,-0.11,48.6505170298549,50.0,3699.0,1000000.0,0.197905,0.0,1000000.0,0.151349,0.0,1000000.0,0.127229,0.0,9.0165842e-40
17,397776025378705.2,372964522131155.75,424982787667623.8,4.40520740103524,2.939635148706396,8.648834576302356,259920.0,0.0085276669017761,0.1,6.0,3.970133333468384e-05,0.0,397776025378705.2,0.0026632183123324,0.0085276669017761,0.1,6.0,3.970133333468384e-05,0.0,24367.0,1000000.0,0.406834,0.0,1000000.0,0.371744,0.0,1000000.0,0.348592,0.0,7.5950129e-17
20,100725452199901.78,93492514294166.31,108711321673565.7,6.518886536206004,4.131004241792826,12.301920057653316,721440.0,0.0016373960163403,0.1,6.8,3.7235812282180025e-06,25.0,97431468452931.2,0.0015987052472733,0.0016373960163403,0.1,6.8,3.7235812282180025e-06,25.0,721440.0,1000000.0,0.35728,0.0,1000000.0,0.313728,0.0,1000000.0,0.289739,0.0,0.041735186
23,10918595942785.088,10269270248732.408,11671250852352.084,4.128531723644316,2.239955405817565,11.53325142092624,2003760.0,0.0010442276474421,0.2,6.3,90684.30302609442,50.0,10475103446917.492,0.0009593361084363,0.0010333701465028,0.19,6.7,20212.69123382959,50.0,1690672.0,1000000.0,0.218835,0.0,1000000.0,0.174456,0.0,1000000.0,0.14949,0.0,0.027681509
26,1912488864502.493,1798810985178.4363,2037603218821.869,3.811173458548424,2.37267923720948,8.482887265977578,5560560.0,0.000395926494534,0.2,4.2,72851.46423585601,0.0,1912488864502.4932,0.0005759031306141,0.0002982136477622,0.19,4.5,17497.226043362676,0.0,21112750.0,1000000.0,0.0414465,0.0,1000000.0,0.0134126,0.0,825760.0,0.0127732,0.0,0.70576237
30,24313879883.088585,22448605230.58105,26339447537.72436,7.504836988068984,5.239295969732226,12.814056554794895,4180320.0,0.0020987323830692,0.1,4.8,1.2089921031919742e-08,25.0,23524639188.073616,0.000664202449716,0.0020987323830692,0.1,4.8,1.2089921031919742e-08,25.0,440892.0,112867.0,0.0321724,0.0,97970.4,0.00744021,1.993999999999999e-201,80361.6,0.00466549,1.8402599999999996e-79,2.0282749000000002e-16
