band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,302668547674595.94,258233778427982.84,356155933046703.0,9.514624953013188,3.9578838419275977,14.501235897702037,1440.0
5,461986969653092.0,378041540227291.56,556150251373400.94,47.11071555698501,38.247552400568516,56.02299984467537,4320.0
8,80930789219971.47,66752089350257.36,97162622360071.17,51.45374740235371,35.54197713965742,65.11441064064226,12240.0
11,8157558089721.551,7539993844000.998,8999805282271.08,10.165147976534197,2.2196763090752163,28.457156676296407,33840.0
14,208008922645440.62,180358716971500.53,240581640883587.03,29.30627849728114,17.520988119558986,50.39466801459962,93600.0
17,388231177504978.1,362211676259014.5,416679750071889.25,5.403621752356866,3.6517182146735765,8.761791029846414,100000.0
20,105529795134163.84,97081713996346.19,115146748174195.14,8.822809424317121,5.236423903228047,19.120294291307694,100000.0
23,10332048042010.348,9617393112295.352,11253427050043.307,7.13025539447924,2.9469668486377687,23.835720991998148,100000.0
26,4816557122466.155,4516950526470.198,5143128828197.068,4.306076538483839,2.829495039023777,8.49624884178571,100000.0
30,63970592978.84248,58931307897.86124,69545358947.8812,8.166018833450119,5.362508513599086,16.222368267134396,100000.0
