band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1440.0,0.2,13.0,0.0104332718397819,0.0,0.2,13.0,100000.0,0.0104332718397819,0.0,16402
5,4320.0,0.1,9.7,0.0110820971477878,75.0,0.1,9.7,3.121759021523465e-07,0.0110820971477878,75.0,14580
8,12240.0,0.2,8.9,0.0057880300848741,100.0,0.2,8.9,88713.25688668112,0.0057880300848741,100.0,52281
11,33840.0,0.2,17.0,0.002039316150264,75.0,0.2,17.0,975.6739854461972,0.002039316150264,75.0,433639
14,93600.0,0.1,-0.1,0.0211386697370058,100.0,0.1,-0.09,39.24151615832047,0.020866757878610594,100.0,4387
17,259920.0,0.1,5.3,0.0082414027926691,0.0,0.1,5.3,9.752666194713932e-05,0.0082414027926691,0.0,27412
20,721440.0,0.1,5.6,0.0022919437106537,50.0,0.1,5.6,1.6588798608256674e-05,0.0022919437106537,50.0,360720
23,2003760.0,0.1,12.0,0.0010655492008851,50.0,0.1,12.0,3.505546347637669e-09,0.0010655492008851,50.0,1690672
26,5560560.0,0.1,8.7,0.0004229599858537,0.0,0.1,8.7,2.5752602241374427e-08,0.0004229599858537,0.0,10556374
30,4180320.0,0.1,3.8,0.0030216023627215,0.0,0.1,3.8,1.6395791796783465e-07,0.0030216023627215,0.0,195952
