band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,382866534839862.3,382866534839862.3,244532183791828.9,203153690328071.7,176109602492744.62,157345779671245.7,130712176609989.58,109393238480020.31,92899935417866.9,80054740845163.61,69097426051191.15,45514153971687.24,0.016832546361064,0.0142939350122555,0.0259348321333533,0.0356733126345487,0.0437787663565503,0.0630415928375668,0.0833996542132827,0.101912273125741,0.1184087535472067,0.1341866585108539,0.1743560023731815,0.05792845058812149,0.04720486062673229,0.03567331263454876,0.026173038907103825,0.013653653099640228,244532183791828.9,0.04099694646275795,,,
5,745291254872750.4,745291254872750.4,529507278188819.5,433287114917623.9,362736050471057.44,311310579242467.75,240952459740218.1,192610777175692.56,160040083064964.75,136789666021226.4,120734730311610.28,91092748120329.3,0.0290970368375499,0.0221205057192183,0.0183913661613536,0.0158904025412792,0.0188614907863099,0.023598585020129,0.0278910091918337,0.0335676199908001,0.0398875881087266,0.0461189374927822,0.0641427531378818,0.025586045040797152,0.02356740820317571,0.02133616058981258,0.01886149078630996,0.015865176890850045,362736050471057.44,0.017758905255325752,0.02110063599311285,0.021341508399695286,
8,179532301926889.16,179532301926889.16,149109456315081.72,131385991072750.84,118355844306226.02,108399910582114.66,92950553124415.48,81576755167792.06,72682962872455.62,65551615371839.88,60031218348290.08,48873409219627.39,0.0195658905387855,0.0195658905387855,0.0195658905387855,0.0184785669029952,0.016560523564603,0.0125003488338532,0.0124114155971685,0.0141674230356668,0.0157009669846499,0.0177406094154957,0.0243159986409088,0.01568778818784078,0.014958853921532844,0.014155375921632518,0.013329071604055977,0.012411415597168551,86937251727320.66,0.011340857753774358,0.012255719390763878,0.014132274728605787,0.01596841341810079
11,10684743872421.203,10684743872421.203,10089092946043.725,9809159756250.623,9602663256754.68,9422226469108.123,9116050027798.797,8877760413509.953,8673483345137.067,8493890407850.229,8331388048121.246,7930299759214.434,0.008376470874089,0.0058116696222687,0.0045803254939275,0.0037620157194438,0.0032838709103729,0.003562488619583,0.0041922829354028,0.0049412060228641,0.0057701654304955,0.0065940340917796,0.0114630447122974,0.008061938610031905,0.0067193578090523065,0.005270346653797331,0.003615096156222408,0.0030293778479400235,9422226469108.125,0.003767751446904666,0.0045655968970294,0.005681939485403298,0.008421008705163102
14,162517112319553.5,162517112319553.5,144232711047300.25,134984399912201.52,128138310783893.16,122384577615423.31,112910106390147.94,105142274124489.8,98695154764631.69,93193618447696.23,88298736465223.03,76382537059571.88,0.0356279985261449,0.035437369781184,0.031666224336522,0.033204001223647,0.0350200708066402,0.0309835350882612,0.0305721526477443,0.0317462403064479,0.0283236113652632,0.0281555969712917,0.0255179796738774,0.02457066063599389,0.025868445327548728,0.026763463712004,0.025840519196011602,0.024906879062590648,70094024873662.22,0.024822510401340425,0.02586211929995541,0.02485768989432252,0.025291532683433315
17,399493607211459.0,399493607211459.0,388077729721664.1,381369177064169.5,375757583400647.6,370795180486327.1,362146221523188.4,354661855202490.9,348017408894058.56,341946248516938.0,336365837982270.6,321585441033840.06,0.0121640589528836,0.0125126396011242,0.0132088001673074,0.0132962175281255,0.0135103214722004,0.014227276599755,0.0146629310843278,0.0150737729492493,0.0156393452841332,0.0161620483140238,0.0173492602435834,0.01340417841951036,0.013214169453962588,0.013058454532677066,0.012512639601124254,0.012164058952883638,,,,,
20,126293524500393.58,126293524500393.58,121821828320574.44,119275258516349.6,117214965714056.94,115446679694840.4,112432539436092.6,109885291090882.77,107631036121859.84,105602259987796.08,103734819169141.02,98847653485908.77,0.0018948475004402,0.0016389074719095,0.0023747941939382,0.0029741656187179,0.0035245781701015,0.00448741192718,0.0053401344892885,0.0061455043672319,0.0069214387685843,0.0076624498555906,0.0097528944940728,0.003944535837993129,0.0034835453727936096,0.0029333851108806312,0.00232033279433844,0.0016389074719095932,,0.0016771869360446834,,,
23,13956289927028.244,13956289927028.244,13528692121621.107,13308240308705.592,13129949854969.82,12976080343359.637,12712913851158.023,12488722761272.062,12289738686170.428,12109185958861.943,11942526835340.168,11505436359542.02,0.0018717023297712,0.0009785004676926,0.0010567727174844,0.0014096243633113,0.0019854939513934,0.0027486075386497,0.0036340695304726,0.0044995720514604,0.0053150849000629,0.0060848308124037,0.008233913971913,0.0024676543675215337,0.0019186025288994019,0.0014683302946493643,0.001587692289497733,0.0009785004676926001,,0.0027285367889271495,,,
26,3497926228281.2046,3497926228281.2046,3388254215999.3867,3324100948755.314,3271617531148.469,3225883439759.7886,3147232423653.3613,3079829047719.096,3020185855354.026,2966258112977.2017,2916776701661.545,2787742969586.2974,0.0019798353311313,0.00123957303608,0.0014659350973865,0.0019254556875104,0.0024576854180396,0.0034385777107526,0.0043361173788047,0.0049195189646137,0.0056759826193058,0.0064258240955628,0.008575112551256,0.0029146933184117443,0.002424413350659682,0.0019254556875104474,0.0014659350973865726,0.0012395730360800772,,0.0022758546416893344,,,
30,43165466222.89688,43165466222.89688,41007293990.320175,39830673406.74087,38896011306.32662,38096693476.16215,36744644902.64555,35604701840.17747,34610244821.93217,33724051842.49037,32921117872.09178,30864003467.20796,0.0057927574364975,0.0045126206953038,0.0045486566155554,0.0039888868855951,0.0038698582506697,0.0048527950744517,0.0051521574136406,0.0059932887516463,0.0068136505733302,0.0075574801671264,0.0096982565733147,0.0055986326260846035,0.00524293764076764,0.004765662091419404,0.004338027158186743,0.0038698582506697804,38896011306.32662,0.003861053773291545,0.003883936843778746,0.004512620695303837,0.005230532309923541
