band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,382866534839862.3,324100396849161.6,450196057219146.4,9.17779681707984,5.344246817444709,12.533964069701758,1344.0,0.0142939350122555,0.2,14.0,77062.66952576552,25.0,244532183791828.9,0.0369188040002903,0.0136536530996402,0.16,14.0,79.86871688728051,25.0,10206.0,1000000.0,0.429099,2.9782199999999995e-225,1000000.0,0.395826,2.2032299999999992e-190,1000000.0,0.3731,1.8718499999999993e-168,0.9606563
5,745291254872750.4,649889410872961.9,847346375935032.8,19.15938855561074,15.821494598233595,22.58420888469809,4032.0,0.0158904025412792,0.1,3.4,0.0019157018593766,75.0,362736050471057.44,0.021346250972668,0.01586517689085,0.11,3.0,0.3475697604373027,75.0,7654.0,1000000.0,0.407879,0.0,1000000.0,0.368,0.0,1000000.0,0.344295,0.0,0.25940426
8,179532301926889.16,156596775548569.7,204282300542555.7,24.56317531649041,19.76896954002504,29.5396532193005,11424.0,0.0124114155971685,0.1,5.7,1.196787569336038e-05,200.0,86937251727320.66,0.0126917061008193,0.0113408577537743,0.09,6.0,2.0688083271348004e-08,175.0,14458.0,1000000.0,0.348994,0.0,1000000.0,0.303951,0.0,1000000.0,0.279941,0.0,0.10506436
11,10684743872421.203,9879611783486.793,11678107354116.014,8.575494787709745,3.301797208521548,19.73571027306788,31584.0,0.0032838709103729,0.2,10.0,12652.675549476651,100.0,9422226469108.123,0.0076365388413218,0.00302937784794,0.21,9.6,49797.47482711043,100.0,202365.0,1000000.0,0.223138,0.0,1000000.0,0.179284,0.0,1000000.0,0.154238,0.0,0.93314335
14,162517112319553.5,134269282795991.4,196280737753400.75,53.4077158125441,31.659409692602228,84.90391236999169,87360.0,0.0255179796738774,0.1,0.1,6.439438676710909,500.0,70094024873662.22,0.0045929764073914,0.0245706606359938,0.11,0.0,353.45948929227205,600.0,3070.0,1000000.0,0.161437,0.0,1000000.0,0.114686,0.0,1000000.0,0.0903894,0.0,3.0050449e-46
17,399493607211459.0,372468552766742.4,428998732129312.1,5.507585044526925,3.7784584305721394,8.769745304942074,242592.0,0.0121640589528836,0.1,4.4,0.0003786374062539,0.0,399493607211459.0,0.0027566694904198,0.0121640589528836,0.1,4.4,0.0003786374062539,0.0,12792.0,1000000.0,0.39413,0.0,1000000.0,0.357703,0.0,1000000.0,0.33437,0.0,1.3138408000000002e-31
20,126293524500393.58,116828643440755.9,136960797863753.84,7.410565087677751,4.600879255237682,14.709857286836824,673344.0,0.0016389074719095,0.1,6.0,1.2158824828598685e-05,25.0,121821828320574.44,0.0016548087389045,0.0016389074719095,0.1,6.0,1.2158824828598685e-05,25.0,673344.0,1000000.0,0.364002,0.0,1000000.0,0.321147,0.0,1000000.0,0.297184,0.0,0.053654309
23,13956289927028.244,13058218225405.338,15012587230488.225,5.128342487537946,2.551656334778364,14.651006930364392,1870176.0,0.0009785004676926,0.1,12.0,4.857744408016551e-09,25.0,13528692121621.107,0.000993004187502,0.0009785004676926,0.1,12.0,4.857744408016551e-09,25.0,1870176.0,1000000.0,0.236501,0.0,1000000.0,0.190922,0.0,1000000.0,0.166293,0.0,0.055644263
26,3497926228281.2046,3253829009768.1045,3773109226089.828,6.25843724644632,3.871573014235912,13.701746641034662,5189856.0,0.00123957303608,0.1,7.5,5.993294424873868e-08,25.0,3388254215999.3867,0.0005961152843448,0.00123957303608,0.1,7.5,5.993294424873868e-08,25.0,1231575.0,1000000.0,0.0839185,0.0,1000000.0,0.0472409,0.0,1000000.0,0.0186597,0.0,2.3668504e-07
30,43165466222.89688,39052308188.55264,48001535105.82993,14.015626640568929,8.286225118946293,31.07093744769153,3901632.0,0.0038698582506697,0.1,3.6,1.3924746792203073e-07,100.0,38896011306.32662,0.0006875134029936,0.0038610537732915,0.09,4.0,2.3238900141325206e-10,75.0,121926.0,133926.0,0.0375075,0.0,117191.0,0.0127306,0.0,95102.3,0.00739115,1.4640199999999993e-185,6.0099195e-51
