band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1344.0,0.2,14.0,0.0142939350122555,25.0,0.16,14.0,79.86871688728051,0.013653653099640228,25.0,10206.0
5,4032.0,0.1,3.4,0.0158904025412792,75.0,0.11,3.0,0.34756976043730275,0.015865176890850045,75.0,7654.0
8,11424.0,0.1,5.7,0.0124114155971685,200.0,0.09,6.0,2.0688083271348004e-08,0.011340857753774358,175.0,14458.0
11,31584.0,0.2,10.0,0.0032838709103729,100.0,0.21,9.6,49797.47482711043,0.0030293778479400235,100.0,202365.0
14,87360.0,0.1,0.1,0.0255179796738774,500.0,0.11,0.0,353.45948929227205,0.02457066063599389,600.0,3070.0
17,242592.0,0.1,4.4,0.0121640589528836,0.0,0.1,4.4,0.0003786374062539,0.0121640589528836,0.0,12792.0
20,673344.0,0.1,6.0,0.0016389074719095,25.0,0.1,6.0,1.2158824828598685e-05,0.0016389074719095,25.0,673344.0
23,1870176.0,0.1,12.0,0.0009785004676926,25.0,0.1,12.0,4.857744408016551e-09,0.0009785004676926,25.0,1870176.0
26,5189856.0,0.1,7.5,0.00123957303608,25.0,0.1,7.5,5.993294424873868e-08,0.00123957303608,25.0,1231575.0
30,3901632.0,0.1,3.6,0.0038698582506697,100.0,0.09,4.0,2.3238900141325206e-10,0.003861053773291545,75.0,121926.0
