band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,best_augmented_var,kstest_stat_minus100
2,391564280511945.6,391564280511945.6,270850004705797.2,230837287107961.2,205792007390359.9,186547142794307.75,157270721993025.1,133846977847583.05,115425187090846.3,100316352159659.7,87772969630402.27,59373427893169.375,0.0131661417184115,0.013726335186691,0.0244109182547962,0.0324333450475379,0.0420468848424396,0.060357372567288,0.0785356906367423,0.0952297567043315,0.110685537441715,0.1249187381838346,0.1666196745783733,0.05397470180977337,0.0434800270118374,0.03240065508771153,0.016415277391993888,0.013166141718411517,,,,,
5,977784425740354.8,977784425740354.8,681927462028995.2,532424541893435.25,436917231700093.8,372695786532998.4,290225028478517.6,237790116670133.8,200201892014789.25,173465466257556.62,153531409561309.8,115744914476319.4,0.0313067781942558,0.0233213390906993,0.0185321649946368,0.0141956323347789,0.0168657842406873,0.0220857224733526,0.0270707183068601,0.0325912376923038,0.0380445051827175,0.0429620098105044,0.0581707618594482,0.02459829127947022,0.02202522560439435,0.019621975316368334,0.016841413162582114,0.014195632334778996,0.017796164329060893,0.02059787465591144,0.02059787465591144,,
8,199321010423472.53,199321010423472.53,158884231740583.25,139020148991011.66,126871080422084.9,116602817518249.69,99979601913425.66,87580980833808.78,78201216668577.45,71171498361542.12,65361226403171.234,53543862850445.79,0.0204855409310942,0.0204855409310942,0.0204855409310942,0.01967245562271,0.0169922374986353,0.0133053297697129,0.0118179637821416,0.0133528248070234,0.0151139722455537,0.0168114040055837,0.0229933398655624,0.015111884227458048,0.014238612036153182,0.013334347351505143,0.012643051573486004,0.011817963782141616,0.011462536901187481,0.013111554090667887,0.014918673521664927,93371223405054.6,0.0157462532918289
11,14189059892878.809,14189059892878.809,11603836130585.092,10849623712628.725,10432514439234.496,10126936479039.404,9688535162982.893,9365861633685.346,9095828176571.404,8869059669457.375,8674970577370.164,8207890263468.157,0.0079568025274511,0.0079568025274511,0.0079568025274511,0.006449103466767,0.0054739181166262,0.0037032141862015,0.0041459490849631,0.004772828768348,0.0053060063565709,0.0057689600716426,0.008947630764902,0.006609854222096312,0.005222968891354318,0.004157175761603571,0.003936961950285256,0.0037032141862015297,0.004387053613292724,0.005273791161448715,0.0065335240932869534,,0.008212936181813346
14,409339796513150.0,409339796513150.0,394013680196120.94,384287073512369.25,376250533833250.9,369329549741259.6,357629672330023.4,347430949711326.5,338466677298085.5,330429102519035.3,323089249671689.44,303837733644252.44,0.0190830326555754,0.0193940767009797,0.020935304791145,0.0203521379914312,0.0214917204611855,0.0217852431006792,0.0221260107501911,0.0235482542429508,0.0237121099361157,0.0239062750125813,0.0257812098228998,0.0200848016000605,0.02010764032957174,0.019711479345636468,0.01912791476930431,0.019083032655575483,,,,,
17,388059590599047.75,388059590599047.75,379500034699133.7,374265911844084.2,369883418898729.4,366027571411018.9,359266713108618.44,353295570676544.5,347878659028683.1,342927191110078.75,338332424792540.75,326106662273395.7,0.002357005296192,0.0030005460454456,0.0035116065373079,0.0038842581064926,0.0039053053659261,0.0046808748679675,0.0054789262472176,0.0063961755025116,0.0073320118772361,0.0084992912733306,0.0118530152005977,0.003688038238284244,0.0035081951275052203,0.003150672652389122,0.002581454060816446,0.0023570052961920385,,,,,
20,73402296007671.3,73402296007671.3,69903039606038.8,68256723341686.75,66953369894790.45,65843249137280.73,63973773445742.02,62412385146510.42,61054796941724.32,59836400326359.62,58725736037362.56,55884299182035.484,0.0056116283546197,0.0041030489106258,0.0034327710794125,0.0027797921632534,0.002341598420458,0.0030041316180795,0.003726050791827,0.0044387606644618,0.0052542355208867,0.0060297937326651,0.0081381638364824,0.003721177124184377,0.0033739782968640677,0.003004131618079565,0.002676001337383575,0.002341598420458002,0.002779792163253414,0.0032816611784416416,0.003992809433667144,,0.005341389795735951
23,11113272943886.115,11113272943886.115,10816841391684.568,10651911027547.852,10516259454459.562,10396858006868.023,10189820385489.986,10011126973081.234,9851653590447.783,9707005926424.137,9573530368490.404,9221633131699.523,0.0016579641038534,0.0007926678836394,0.0012091018280899,0.0016328698869411,0.0020808675057133,0.0029076473513497,0.0037974234215046,0.0046252289042622,0.0054023234854749,0.0061508629849877,0.0082701753914929,0.0026383455120816274,0.002121718902450373,0.0016644270182415571,0.0020017357870871777,0.0007926678836394641,0.002830386768798321,,,,
26,3116547597425.804,3116547597425.804,3007385857292.491,2946467701593.0835,2897411202239.496,2854918507905.467,2782383628688.493,2720699309648.0547,2666393978908.2617,2617530362378.924,2572839153300.96,2456792202231.224,0.0006839916525869,0.0010094531493898,0.0017247205789393,0.0023928533392833,0.002976984925092,0.0040016526358581,0.0049534170623556,0.0057996123611516,0.0065320064580494,0.0069937723675718,0.0091891373621917,0.002869175784082807,0.002236539956191941,0.00164828347686468,0.0008786168795488214,0.0006839916525869238,,,,,
30,35587624748.89857,35587624748.89857,34214559962.10997,33430761332.101048,32787634823.829723,32228347409.49106,31268033056.015938,30446114515.085285,29719566808.235363,29062527749.533188,28460784673.141388,26897288669.18041,0.0022497987122681,0.0033169572474886,0.0031689852503359,0.0037122732544009,0.0041918627149777,0.0052808527353908,0.0062352963946486,0.0069387841997664,0.007759793861506,0.0085425483548545,0.0106113419765393,0.005071223829380689,0.004488438270939997,0.004018747990119621,0.0032053952983723127,0.002249798712268117,,,,,
