band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,391564280511945.6,339950888289352.9,451100583990907.7,6.855218102731584,3.785940215974972,9.952541762767638,1440.0
5,977784425740354.9,849456249588149.4,1116712677346297.2,22.65258851881214,19.289485394213504,26.255725222525474,4320.0
8,199321010423472.53,170670013012465.94,231127305357958.34,32.61878224164752,23.91398798681031,41.579805847009276,12240.0
11,14189059892878.809,11653857985894.344,18514608749420.312,86.68659405544099,15.054619793300304,257.9732999054984,33840.0
14,409339796513150.0,374359634367914.75,447491575306601.56,10.058353222373617,7.365085281988662,14.099300688925279,93600.0
17,388059590599047.75,365808936222130.44,412217628596114.56,3.3758778956371946,2.2678533803256395,6.326153911047173,259920.0
20,73402296007671.3,67138666303407.0,81680324951201.11,11.953052671435172,5.117450797076626,40.137967578778564,721440.0
23,11113272943886.115,10436537368383.465,11899280000331.8,4.444135287714425,2.4522494007538724,12.334987672124457,2003760.0
26,3116547597425.8037,2887243064866.868,3380704052886.336,7.2585329983784295,4.206287051759048,17.53417290966903,5560560.0
30,35587624748.89857,32610254093.98626,38982838032.61168,9.742558469984134,6.116815579970235,21.662332295908957,4180320.0
