band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,391564280511945.6,339950888289352.9,451100583990907.7,6.855218102731584,3.785940215974972,9.952541762767638,1440.0,0.01316614171841135,0.1,9.1,1.4475992496591283e-06,0.0,391564280511945.6,0.03567116747608868
5,977784425740355.0,849456249588149.5,1116712677346297.2,22.652588518812134,19.289485394213504,26.255725222525477,4320.0,0.014195632334779607,0.1,3.4,0.0023074716507351166,75.0,436917231700093.8,0.020623821110128046
8,199321010423472.53,170670013012465.94,231127305357958.38,32.61878224164752,23.913987986810312,41.57980584700928,12240.0,0.011817963782141727,0.1,5.6,1.4658418536917073e-05,200.0,87580980833808.77,0.0122618370593477
11,14189059892878.809,11653857985894.344,18514608749420.31,86.68659405544102,15.054619793300308,257.9732999054984,33840.0,0.0037032141862015297,0.2,8.8,22143.60469824877,150.0,9688535162982.89,0.007377771632076051
14,409339796513149.94,374359634367914.8,447491575306601.6,10.058353222373622,7.365085281988664,14.09930068892528,93600.0,0.019083032655575025,0.1,1.3,0.32383954983424823,0.0,409339796513149.94,0.004437299556044136
17,388059590599047.7,365808936222130.4,412217628596114.5,3.3758778956371955,2.2678533803256378,6.326153911047179,100000.0,0.002357005296193204,0.1,10.0,6.553518315248998e-07,0.0,388059590599047.7,0.004293014618329405
20,73402296007671.31,67138666303407.0,81680324951201.12,11.953052671435165,5.117450797076624,40.13796757877859,100000.0,0.002341598420456781,0.1,8.0,6.951704471200374e-07,100.0,65843249137280.73,0.004293014618329405
23,11113272943886.115,10436537368383.465,11899280000331.8,4.444135287714426,2.4522494007538715,12.334987672124452,100000.0,0.0007926678836374657,0.1,12.0,3.884000782225007e-09,25.0,10816841391684.566,0.004293014618329405
26,3116547597425.804,2887243064866.868,3380704052886.3364,7.258532998378429,4.206287051759048,17.53417290966903,100000.0,0.0006839916525872569,0.1,6.3,2.1466893602762985e-07,0.0,3116547597425.8037,0.004293014618329405
30,35587624748.89857,32610254093.98626,38982838032.61169,9.74255846998414,6.116815579970235,21.66233229590896,100000.0,0.002249798712268651,0.1,3.4,1.879473485299601e-07,0.0,35587624748.89857,0.004293014618329405
