band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,best_augmented_var,kstest_stat_minus75,kstest_stat_minus100
2,254220171394581.84,254220171394581.84,197498723377788.9,175110386002197.12,159559511680467.16,146500660403786.9,125320896753539.34,109262060373814.66,95980420590197.16,84458415782906.95,74426205831694.94,51378838122161.03,0.0102055779765393,0.014056734565585,0.0253600391315064,0.0350962396933069,0.0443384858062888,0.0619750618965982,0.0771228202696558,0.0915147139959498,0.1058378348737972,0.1196727438792723,0.1571810177627118,0.04975128556399511,0.040309256540397076,0.02996060069627926,0.016798888018485947,0.010205577976539315,,,,,
5,545026481264863.1,545026481264863.1,308788555247929.5,236818516721098.0,198395155739036.47,174614887147746.8,147937181598168.9,132275851954836.56,120778444125274.2,111469354650159.84,103738963062787.95,86972300093170.23,0.0172484602925908,0.0169564677905922,0.0088186150291485,0.0098870149466216,0.0128325865405033,0.0201199675198113,0.0241840484609934,0.0314387553582997,0.0394988250535893,0.0464869745054801,0.062648176325299,0.024134651026106513,0.017542129492282593,0.012634436256606096,0.009919236582094704,0.008818615029148519,0.010785785661570443,0.010785785661570443,,,
8,86644302951738.28,86644302951738.28,54862170093420.66,49189835730442.414,46243823506845.5,44150706947527.125,41182064330927.4,39065126497290.34,37406903116229.37,36013497550652.51,34806051665791.406,31903310016398.164,0.0057478993277533,0.0057478993277533,0.0057478993277533,0.0057478993277533,0.0055244911472154,0.0073181498426638,0.0088361946204628,0.0112732938200812,0.0136727116422502,0.0169482266161561,0.0250579388387549,0.014894653928922752,0.012530159475830471,0.009916311474172823,0.006990512197505461,0.005449697236658224,0.00471482306972737,0.005747899327753381,46243823506845.5,0.005747899327753381,0.005747899327753381
11,10889009452007.5,10889009452007.5,8541490633547.219,7935496839623.807,7638389910019.652,7454653021800.218,7193479185289.028,6998048948610.427,6842382593465.482,6714692655121.888,6604970730780.179,6337476189811.033,0.0123813260932748,0.0106230230563336,0.0070477242234734,0.0052251570753011,0.0037921403213786,0.0031367399739548,0.0034953753746413,0.005228669188845,0.0070515381245984,0.0089116136294488,0.0135790832243589,0.004807273615252128,0.0038997539893222966,0.003485364966455444,0.003346410694730184,0.003136739973954805,0.002911761095681798,0.00379401745019603,7313592189842.268,0.004932278740299945,0.007121723809868086
14,249872429785074.28,249872429785074.28,239482426497273.2,232769441312554.03,227227901134399.44,222364720524050.1,214144935161535.6,207071046396604.72,200671283989124.28,194897267675930.56,189551022153378.28,175645306612282.8,0.0291115459684098,0.028372933188102,0.0293943507253677,0.0302512110342974,0.0310881437597251,0.0300186733200926,0.0312286280002999,0.0323447972366383,0.0314263514879143,0.0323271953250321,0.0332262339764932,0.029493526719546158,0.0287834495606056,0.029136043183523766,0.028269539524158574,0.027236921288397324,0.027289421386614728,,239482426497273.2,,
17,387212213033421.94,387212213033421.94,377460902318878.3,371533690004969.4,366700783182527.75,362468759768277.06,355129100895040.25,348814577832144.94,343109785624618.4,337894049672691.6,333050584844816.6,320109889531868.06,0.0051146160695165,0.0056496689502211,0.0061412485007626,0.0064929028429521,0.0069415882249616,0.0075179190335782,0.0080666974116146,0.0086103251093053,0.0096793621793742,0.009934363647995,0.011763110380313,0.00679762376406208,0.0064516647136126926,0.00611700760659753,0.005649668950221162,0.0051146160695165754,,,,,
20,82738042897389.08,82738042897389.08,80083122803689.78,78514156516290.19,77226470807368.81,76099514188405.66,74166251383861.12,72503134483118.38,71024938925153.52,69692698586152.02,68464297133067.71,65259679155463.47,0.0033061005835491,0.0025278392462708,0.0020675858217661,0.0024091321405603,0.0028191466308831,0.0037336611564047,0.004590329299008,0.0053972456594059,0.0061667704976843,0.0069210835569797,0.0090094580034722,0.003696754324796308,0.003258904689607999,0.0028191466308831355,0.0024091321405603702,0.002067585821766138,0.0025278392462708688,0.0032719570960865196,,,
23,7687085892015.024,7687085892015.024,7520407592222.708,7421798488640.023,7340319408006.728,7268820662008.72,7144676454141.279,7036823591903.779,6940074155475.262,6851595333172.058,6769434118664.345,6550490289082.788,0.001393580114142,0.0005505417579567,0.0008942264754896,0.0014213588201421,0.0019656797681927,0.0029412506903116,0.0038275201593001,0.0046410124866353,0.005412048675671,0.0061332872050688,0.0081696900431117,0.00248674236451131,0.0019484048880917051,0.0014032796866012553,0.0008942264754896595,0.0005505417579567025,0.0013739138974883103,,,,
26,3254620063763.216,3254620063763.216,3158658690726.1675,3105033663892.111,3061038898284.812,3022486586976.4653,2955610302765.115,2897855931709.965,2846437909948.424,2799694521421.637,2756579862956.793,2643339416930.816,0.0006644970901855,0.001721194138088,0.0024136379197347,0.0030089411573122,0.0035301520444725,0.0045120466237155,0.0052188967879144,0.0058166209270035,0.0065951324915879,0.007356304731306,0.0094707492645158,0.0034136367742976653,0.0028891145875816204,0.0023345206591760467,0.001666417390715401,0.0006644970901855674,,,,,
30,45058047591.93502,45058047591.93502,43569514388.46168,42684226249.45214,41948903098.93439,41299750915.89039,40173384432.00645,39200641016.49721,38333283755.659325,37544962354.721634,36819762441.0354,34919357524.05541,0.0023544879106326,0.0026845025606555,0.0033387386519865,0.0040982999625503,0.0045539264341612,0.0055515085326747,0.0063276489104052,0.0071956997362923,0.0080061059913945,0.0086391231594297,0.0107054296948185,0.004376316887397931,0.004078591415938859,0.003338738651986549,0.002684502560655548,0.0021283648808225752,,,45058047591.93502,,
