band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1536.0,0.2,13.0,0.0102055779765393,0.0,0.2,13.0,100000.0,0.0102055779765393,0.0,17496
5,4608.0,0.1,6.3,0.0088186150291485,50.0,0.1,6.3,1.6312145868765243e-05,0.0088186150291485,50.0,23328
8,13056.0,0.2,8.9,0.0055244911472154,100.0,0.18,8.7,6762.769726268955,0.00471482306972737,75.0,83652
11,36096.0,0.2,17.0,0.0031367399739548,150.0,0.19,17.0,223.6296225485525,0.002911761095681798,125.0,219528
14,99840.0,0.1,0.1,0.028372933188102,25.0,0.12,-0.2,56431.050134527126,0.027236921288397324,25.0,2497
17,100000.0,0.1,7.2,0.0051146160695165,0.0,0.1,7.2,9.459751890219244e-06,0.0051146160695165,0.0,71190
20,100000.0,0.1,6.9,0.0020675858217661,50.0,0.1,6.9,2.677963770758561e-06,0.0020675858217661,50.0,427147
23,100000.0,0.2,7.6,0.0005505417579567,25.0,0.2,7.6,31169.977047812637,0.0005505417579567,25.0,6157873
26,100000.0,0.1,7.4,0.0006644970901855,0.0,0.1,7.4,6.403760945818788e-08,0.0006644970901855,0.0,4324873
30,100000.0,0.2,1.1,0.0023544879106326,0.0,0.18,1.4,4339.096857274276,0.0021283648808225752,0.0,427147
