band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,310058819736347.56,273025964579104.56,351879830474855.75,5.096017477288921,3.120138001817797,7.454061329093763,1440.0
5,843883837504393.2,737360761649175.6,960777024390372.8,21.024885709271032,16.639383251504945,25.73803818498681,4320.0
8,181586562468395.3,155810044690528.66,210576391052846.7,32.23470475532425,20.658370758314096,44.014119271470975,12240.0
11,13306701323793.88,10863409793577.03,17597784582239.1,95.31702059189637,14.062968453218598,284.3460214995269,33840.0
14,209999593847065.4,185723293147494.8,237144202442054.84,20.764812051278835,14.979909352173879,29.850138098035778,93600.0
17,396778780470879.4,372037677861035.56,423593419233817.7,4.37324643314791,2.9859593474492345,7.276849719902427,100000.0
20,100948714045925.12,93583329547331.53,109423323884446.33,7.07597943360917,4.1536275164988075,17.387717739673068,100000.0
23,10927217044749.715,10280870494996.967,11656467197483.047,3.9478403194439586,2.2643302515241235,9.31480400748989,100000.0
26,1914125554842.1267,1799325935651.2559,2043746926174.952,4.034940390843895,2.376776769633385,10.521573543726877,100000.0
30,24335168310.46502,22454781119.515198,26404443610.178688,7.782519483551965,5.239422507558175,15.41376787257312,100000.0
