band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1440.0,0.2,13.0,0.0100175298121663,0.0,0.2,13.0,100000.0,0.0100175298121663,0.0,18451
5,4320.0,0.1,8.4,0.0094513898489088,50.0,0.1,8.4,1.2205016492776938e-06,0.0094513898489088,50.0,20757
8,12240.0,0.2,11.0,0.0056117383548786,100.0,0.2,11.0,34839.173120636384,0.0056117383548786,100.0,61965
11,33840.0,0.2,19.0,0.0018708915379878,75.0,0.2,19.0,586.8791398370225,0.0018708915379878,75.0,548823
14,93600.0,0.1,-0.1,0.0211279949122081,100.0,0.1,-0.09,38.615749386539804,0.02089168463200533,100.0,4387
17,100000.0,0.1,5.3,0.0090450487431453,0.0,0.1,5.3,9.765122094504288e-05,0.0090450487431453,0.0,23728
20,100000.0,0.1,5.6,0.0022663263633306,50.0,0.1,5.6,1.657843791683847e-05,0.0022663263633306,50.0,379687
23,100000.0,0.1,12.0,0.0010507482095316,50.0,0.1,12.0,3.501322160326831e-09,0.0010507482095316,50.0,1708593
26,100000.0,0.1,8.7,0.0003869155984558,0.0,0.1,8.7,2.5773604426484943e-08,0.0003869155984558,0.0,12974622
30,100000.0,0.1,3.8,0.0029840890454514,0.0,0.1,3.8,1.6407532476497698e-07,0.0029840890454514,0.0,213573
