band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,339842009132118.1,288505123171762.9,399538670429177.94,9.000776956844518,4.606561916862943,13.104665418642503,1344.0
5,766268111181549.1,665010015184531.9,874601542507881.9,20.5402744812233,17.320919372532273,23.90591284903716,4032.0
8,182173455294249.2,158401164032363.22,208332386977084.47,26.35873583886933,19.2467669247261,34.41520914515746,11424.0
11,10462887871677.309,9638602428965.713,11506893732837.482,9.936844045240314,3.4015597529355595,23.645955578375688,31584.0
14,156023378056305.12,130450102156912.05,185606128713253.25,45.615188246497674,30.371928092843337,68.15530928176608,87360.0
17,399044973851055.3,371944945416247.7,428838862474074.7,5.597485945049314,3.714604895535795,9.365634502180589,242592.0
20,126281703477636.95,116797021403166.7,137204315396627.86,7.630152033283114,4.53395507616738,17.732023013282614,673344.0
23,13952162996874.24,13058651545952.445,14968073017407.88,4.887634891405021,2.577196411701392,12.244420922317607,1870176.0
26,3501565299877.888,3257118817886.685,3775442627715.3955,6.210593922682648,3.889244245928204,12.906359689577561,5189856.0
30,43207613574.09835,39055817961.95468,48237219430.7365,14.6718663597478,8.267645504205884,37.02462197089484,3901632.0
