band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,51398796.0,44635750.0,61012884.0,34.22099,15.247752,119.30455,100000.0
5,2525491200.0,2354647300.0,2701156900.0,5.178192,4.6247773,5.771959,100000.0
8,1756310100.0,1640076900.0,1875927900.0,4.8487215,4.287468,5.4221234,100000.0
11,1467357800.0,1381364500.0,1555059000.0,3.3277197,2.9935098,3.6767108,100000.0
14,454021000.0,418239680.0,490949060.0,7.741888,6.910471,8.619063,100000.0
18,80051760.0,73537176.0,87045620.0,8.755204,6.906692,11.289118,100000.0
21,29766528.0,26981292.0,32831158.0,12.357149,8.886501,18.062698,100000.0
24,15210772.0,13167647.0,17487218.0,28.562206,21.736568,36.871605,100000.0
27,10058090.0,8507878.0,11747916.0,37.199127,31.085604,44.25604,100000.0
31,276187.5,225015.06,341057.78,63.171585,39.072056,149.13667,100000.0
