band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,51398796.0,44635750.0,61012884.0,34.22099,15.247752,119.304565,58064760.0,0.003485146127464568,0.1,1.1,6.851155182660567e-08,50.0,45640540.0,0.000178224744761164
5,2525491200.0,2354647300.0,2701156900.0,5.178194,4.624779,5.771959,58064760.0,0.04279406649229783,0.1,0.4,5.3032983184448904e-05,0.0,2525491200.0,0.000178224744761164
8,1756310100.0,1640076900.0,1875927900.0,4.8487215,4.2874684,5.4221234,58064760.0,0.02387225469703344,0.2,0.1,18206.10101010101,25.0,1730307800.0,0.000178224744761164
11,1467357800.0,1381364500.0,1555059000.0,3.3277192,2.9935117,3.67671,58064760.0,0.02570800842581318,0.2,0.2,11692.971649584317,75.0,1425163100.0,0.000178224744761164
14,454021000.0,418239650.0,490949100.0,7.741889,6.910473,8.619063,58064760.0,0.017777699804885874,0.2,-0.4,19595.49078207654,100.0,424263800.0,0.000178224744761164
18,80051780.0,73537170.0,87045620.0,8.7552,6.90669,11.289118,58064760.0,0.016853883876189246,0.2,-0.2,1936.709671614934,0.0,80051780.0,0.000178224744761164
21,29766530.0,26981294.0,32831158.0,12.357146,8.886501,18.062704,58064760.0,0.014991122661193845,0.2,-0.4,1316.1943839442292,25.0,28497048.0,0.000178224744761164
24,15210772.0,13167647.0,17487216.0,28.562199,21.73657,36.871605,58064760.0,0.007207154931336376,0.2,-0.9,6036.020634920633,0.0,15210772.0,0.000178224744761164
27,10058090.0,8507879.0,11747917.0,37.19913,31.085611,44.25604,58064760.0,0.010451450773603987,0.2,-1.0,4018.8551004551005,350.0,5657166.5,0.000178224744761164
31,276187.5,225015.06,341057.78,63.171593,39.07205,149.13666,58064760.0,0.030874719349982094,0.3,-1.2,12271.771398685307,500.0,113643.086,0.000178224744761164
