band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,58064760.0,0.1,1.1,0.0034851461274645,50.0,0.11,0.7,1.5121093575085582e-05,0.0019504343990337514,0.0,510333
5,58064760.0,0.1,0.4,0.0427940664922978,0.0,0.12,0.1,0.15079321050685304,0.04088274607410036,25.0,1117
8,58064760.0,0.2,0.1,0.0238722546970334,25.0,0.21,0.0,52300.41790562626,0.023171600844973494,0.0,3543
11,58064760.0,0.2,0.2,0.0257080084258131,75.0,0.22,0.0,87747.61917510694,0.02438360144475271,0.0,2988
14,58064760.0,0.2,-0.4,0.0177776998048858,100.0,0.21,-0.5,60949.59413308782,0.015659071321834903,0.0,7566
18,58064760.0,0.2,-0.2,0.0168538838761892,0.0,0.24,-0.4,44150.80813413266,0.014212541204134732,0.0,8968
21,58064760.0,0.2,-0.4,0.0149911226611938,25.0,0.26,-0.7,100000.0,0.012885280002248534,0.0,10630
24,58064760.0,0.2,-0.9,0.0072071549313363,0.0,0.24,-1.0,85420.70529122456,0.005214694582408752,0.0,71763
27,58064760.0,0.2,-1.0,0.0104514507736039,350.0,0.23,-1.1,39693.54075160059,0.008362314541521476,300.0,26908
31,58064760.0,0.3,-1.2,0.030874719349982,500.0,0.4,-1.25,74528.77882914594,0.02547383952123833,475.0,2988
