band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1822473700.0,1700371300.0,1952435800.0,5.2104263,4.4931355,6.0710907,100000.0,0.032484655501784,0.2,-0.4,82613.70130550564,25.0,1822473728.0,0.0042930146183294,0.0321587591832485,0.2,-0.41,87148.57081119635,0.0,1756,19400.1,0.0891129,0.0,16611.6,0.0636952,0.0,13012.0,0.0654176,0.0,2.773470299999998e-90
5,2077597400.0,1957286700.0,2201770000.0,3.2469602,2.777913,3.7653701,100000.0,0.0260771613117363,0.2,0.6,7031.734723114633,0.0,2077597440.0,0.0042930146183294,0.0257247133897353,0.22,0.4,51059.48384895452,0.0,2812,30106.9,0.0566483,2.2559399999999994e-279,25616.1,0.0327298,1.670659999999999e-93,20906.7,0.0380117,5.6037299999999974e-126,6.388996599999999e-58
8,1658434800.0,1562720400.0,1756838000.0,3.2404633,2.8209524,3.6948435,100000.0,0.0236492306382107,0.2,0.5,6903.241824841825,0.0,1658434816.0,0.0042930146183294,0.0230909337028356,0.22,0.3,50094.30483198738,0.0,3514,26503.8,0.05649,8.151029999999999e-278,22597.0,0.0315637,5.473269999999997e-87,18304.9,0.0363382,3.655669999999998e-115,9.4745032e-47
11,1349044400.0,1269733600.0,1429591300.0,3.3304858,2.9992988,3.6825438,100000.0,0.0323820117959439,0.2,-0.2,32637.717418735363,0.0,1349044352.0,0.0042930146183294,0.0315410610049596,0.2,-0.17,29829.784713300607,0.0,1756,19242.6,0.0812343,0.0,16500.4,0.0555583,9.813279999999997e-269,12983.5,0.0576862,1.0732099999999998e-289,7.284454199999996e-87
14,249059360.0,227592300.0,271579040.0,9.845659,8.417545,11.466613,100000.0,0.0201696559909474,0.2,-0.6,24284.776939835763,0.0,249059360.0,0.0042930146183294,0.0190999353178544,0.2,-0.58,22413.05361482575,0.0,5272,6285.13,0.0825698,0.0,5408.4,0.0571314,3.731999999999999e-284,4206.13,0.0582405,2.7592099999999996e-295,4.038509500000001e-32
18,60631004.0,55454716.0,66288280.0,10.03531,7.303592,14.052322,100000.0,0.0180985522763794,0.2,-0.2,1411.2858254232865,25.0,60631004.0,0.0042930146183294,0.0158127265716628,0.25,-0.5,72179.76666666666,0.0,7030,4011.96,0.0666265,0.0,3450.78,0.0409178,6.462749999999997e-146,2704.84,0.0429744,6.488009999999997e-161,3.7747883e-22
21,27654232.0,24769062.0,30837306.0,15.86632,11.610803,22.595634,100000.0,0.0162664086475369,0.2,-0.6,2696.45298840593,0.0,27654232.0,0.0042930146183294,0.0127873481484591,0.23,-0.7,25228.141695970928,0.0,11863,2138.34,0.0757745,0.0,1834.64,0.0506043,5.39845e-223,1429.35,0.0521407,1.01021e-236,1.2416521e-14
24,19492980.0,16795424.0,22450416.0,29.665375,24.574068,35.52033,100000.0,0.0067595716091994,0.2,-1.0,11945.947741147742,75.0,19492980.0,0.0042930146183294,0.0057582620276768,0.19,-1.0,6996.718999633136,0.0,56250,842.494,0.0909505,0.0,734.78,0.0668816,0.0,555.946,0.0655892,0.0,0.0026261349
27,5376906.5,4510249.0,6354094.5,42.0025,31.563974,57.026108,100000.0,0.013916021738628,0.2,-1.0,2114.3922743922744,350.0,2976337.5,0.0042930146183294,0.0122578714144337,0.24,-1.1,29679.337701928333,350.0,12500,386.821,0.0887151,0.0,334.973,0.0650397,0.0,252.867,0.0642741,0.0,1.7621983e-13
31,164567.6,128540.12,218887.53,105.728,48.18379,314.09473,100000.0,0.0345017594456988,0.3,-1.2,7814.921004463238,350.0,63780.05859375,0.0042930146183294,0.027325488617871,0.5,-1.27,94967.32965120608,450.0,2343,63.2726,0.0830839,0.0,54.2557,0.0607645,,40.2825,0.0605215,,2.6698813e-65
