band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,57390260.0,0.2,-0.4,0.0324846415792199,25.0,0.2,-0.41,87148.57081119635,0.03215875918324851,0.0,1751
5,57390260.0,0.2,0.6,0.026077166449577,0.0,0.22,0.4,51059.493286221536,0.02572471853883307,0.0,2800
8,57390260.0,0.2,0.5,0.0236492306382108,0.0,0.22,0.3,50094.30483198736,0.02309093370283566,0.0,3502
11,57390260.0,0.2,-0.2,0.0323819985788835,0.0,0.2,-0.17,29829.784713300607,0.031541061004959514,0.0,1867
14,57390260.0,0.2,-0.6,0.0201696463580213,0.0,0.2,-0.58,22413.05793438464,0.01909992572753272,0.0,5253
18,57390260.0,0.2,-0.2,0.0180985508321042,25.0,0.25,-0.5,72179.75238095238,0.015812722705886406,0.0,7005
21,57390260.0,0.2,-0.6,0.0162664086474609,0.0,0.23,-0.7,25228.141695970935,0.012787348148459055,0.0,11820
24,57390260.0,0.2,-1.0,0.0067595693470371,75.0,0.19,-1.0,6996.718999633136,0.005758262027676819,0.0,56045
27,57390260.0,0.2,-1.0,0.0139219138108525,350.0,0.24,-1.1,29679.345180751978,0.012257871657842534,350.0,11820
31,57390260.0,0.3,-1.2,0.0345017594456988,350.0,0.5,-1.27,94967.32965120609,0.027325488617871097,450.0,2490
