band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1177796400.0,1177796400.0,1149729800.0,1129427700.0,1111572100.0,1095234200.0,1065674900.0,1039062140.0,1014644000.0,991923600.0,970565900.0,912832450.0,0.0331771866838225,0.0334355666783585,0.0325206087338761,0.0328250002929189,0.0333708010364381,0.0343802114130988,0.035313166812593,0.0350493006653529,0.0348436971352242,0.0356468843922652,0.0369824032203716,0.03218026007543273,1177796400.0,0.03236617314708699,0.03184639876525239,0.03246409281231111,0.032383016479372376,0.03172447446222684,0.03170405725687331,,
5,2881984000.0,2881984000.0,2845589500.0,2815188500.0,2787705900.0,2762173200.0,2715208400.0,2672255200.0,2632320500.0,2594828000.0,2559359700.0,2462370300.0,0.027395200674825,0.0274631830463047,0.0271334934611398,0.0277894197423838,0.0284586813595507,0.0280810106863577,0.0290496319422921,0.0290310449388633,0.0295486945924209,0.0299356742457047,0.0305211861912207,0.02808101068635771,2881984000.0,0.027980385419229092,0.027777344562459422,0.027107547682201985,0.027013031260760878,0.027183401113714645,0.026874962593323046,,
8,1826215600.0,1826215600.0,1801076000.0,1779325000.0,1759593300.0,1741414800.0,1708494700.0,1678902900.0,1651756000.0,1626521200.0,1602822900.0,1538615900.0,0.021074422605273,0.0211168642186563,0.022029818295946,0.0218839285175317,0.0218420202176882,0.0228109866556086,0.0229613722118304,0.0234498835155631,0.0238665078851332,0.0241024661951623,0.0254500398566517,0.021668208779368037,1801076000.0,0.021828722761806474,0.02105862556125386,0.02043331413615529,0.02081050776153101,,,,
11,1400472200.0,1400472200.0,1386371800.0,1373957900.0,1362381800.0,1351391200.0,1330720800.0,1311390200.0,1293102000.0,1275676000.0,1258980400.0,1212445600.0,0.0297784256384787,0.0303869645537004,0.0302512175008918,0.029891874938647,0.0296934432240366,0.0306190514204486,0.0314947515355827,0.0318845753950876,0.0313078138330712,0.0320023443720827,0.0329649249663081,0.03078431793255132,1386371800.0,0.031062228890342394,0.030619051420448642,0.030163433900612574,0.029693443224036636,0.029215075897251544,0.02894128477288531,0.02840090931334817,0.028732023561619524
14,291577200.0,291577200.0,283996770.0,277997950.0,272699840.0,267868100.0,259190060.0,251465280.0,244446500.0,237984960.0,231980780.0,216084910.0,0.0197292661111898,0.0186988540015073,0.0180035591421927,0.0190629039894054,0.0200522974176639,0.0218783185281121,0.0220979557228759,0.0210183888231282,0.0224963203265571,0.0239033489110986,0.0244387159397829,0.019730600411236865,291577200.0,0.019255292720706474,0.01871224799230764,0.017728538598659305,0.017782929572385864,0.01774097646120809,0.017010743914308346,,
18,54196784.0,54196784.0,52385376.0,51216040.0,50246188.0,49397868.0,47937930.0,46688668.0,45584760.0,44589132.0,43677704.0,41303428.0,0.0152936994618256,0.0168143560509717,0.0161297217249762,0.0170487467299382,0.0179824872766084,0.0181756338647915,0.0190261537728715,0.020336002420475,0.0197910157970019,0.0209105639927695,0.0224365113738691,0.015983076152775166,54196784.0,0.01506048486419942,0.015101244721744567,0.01387092063360984,0.01367218636904155,,,,
21,23889534.0,23889534.0,22652666.0,21886712.0,21269952.0,20743598.0,19863622.0,19136474.0,18512256.0,17961534.0,17464876.0,16198308.0,0.0112649064142913,0.0125916196462479,0.0143787835637235,0.0158865226188015,0.0151980291897704,0.0151786784142709,0.0170486208172849,0.0187420950443431,0.0177317393399299,0.0183836436119031,0.020759633024688,0.011642501001146832,23889534.0,0.01062398673196803,0.011090601835306857,0.009468065387173999,0.009031845835780775,,,,
24,18201182.0,18201182.0,17113896.0,16306637.0,15622195.0,15019758.0,13985969.0,13114080.0,12358751.0,11692494.0,11097250.0,9627412.0,0.0096649414198036,0.0100003645995575,0.0098738245084534,0.0108061927122137,0.0116946699253976,0.0133967123816575,0.0150270169000826,0.0166222557648649,0.0155850459052667,0.0131345547445007,0.0150396228954791,0.01031853124857901,18201182.0,0.009606640580047454,0.008674762632314814,0.008824188367582975,0.008133262123350415,,,,
27,8259777.5,8259777.5,7656172.0,7209877.0,6834695.5,6507201.0,5951773.0,5489835.5,5094742.0,4750472.0,4446405.5,3709517.0,0.016563537402169,0.0163552453075594,0.0154513951160355,0.0151268307892349,0.0159244161768234,0.0156995127680185,0.0159793103837622,0.0172696445291046,0.0170650825798538,0.0164157246592393,0.0144417292976674,0.012618806637305635,4049832.2,0.012300171118776015,0.012345068529016734,0.012391313055549857,0.012438671687616587,0.012487664201544013,0.012538745198937051,0.012200208557605063,0.012249187408379547
31,228767.81,228767.81,201231.42,185717.19,173363.23,162985.38,146128.83,132723.23,121644.8,112266.82,104186.81,85338.164,0.0394741895559834,0.0392020208540783,0.0390282789792939,0.038877332925881,0.0387406795139139,0.0384961766647724,0.0382778515830738,0.0385390302138611,0.0383092799665544,0.0380876717476907,0.037461095004576,0.031883262396964596,75845.98,0.031883262396964596,0.031883262396964596,0.031883262396964596,0.031883262396964596,0.031883262396964596,0.031883262396964596,0.031883262396964596,0.031883262396964596
