band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,9.336187e+08,8.402026e+08,1.0328296e+09,13.948828,11.8804245,16.469755,58035773.0
5,2.284851e+09,2.1362874e+09,2.437953e+09,4.6304107,4.061817,5.2462087,58035773.0
8,1.7034964e+09,1.595001e+09,1.8153436e+09,4.384782,3.8605816,4.9296403,58035773.0
11,1.3304392e+09,1.2490938e+09,1.4133631e+09,3.781705,3.4066188,4.176624,58035773.0
14,3.5369962e+08,3.235534e+08,3.8508646e+08,9.48768,8.329473,10.714776,58035773.0
18,6.939949e+07,6.35401e+07,7.57306e+07,9.62286,7.358908,12.719344,58035773.0
21,2.9438876e+07,2.6539326e+07,3.2621958e+07,13.824453,10.147264,19.83394,58035773.0
24,1.134324e+07,9.638629e+06,1.3300311e+07,37.196182,26.251995,51.220974,58035773.0
27,4.075887e+06,3.2605872e+06,5.0400785e+06,69.57706,46.294106,98.47408,58035773.0
31,134625.73,101012.08,188023.14,146.75908,58.790752,427.17142,58035773.0
