band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,930436350.0,845057700.0,1021506400.0,11.4734535,9.685472,14.096589,57419247.0,0.023594101589382,0.1,0.0,0.0001307342415761,0.0,930436352.0,0.0001792237390124,0.0216241268483003,0.13,-0.4,6.042356028598689,0.0,3942,8540.65,0.0922929,0.0,7611.15,0.0681418,0.0,5762.64,0.0648298,0.0,0.0
5,2321099000.0,2173827300.0,2472826400.0,4.321749,3.7806487,4.9028773,57419247.0,0.0323718398966205,0.2,-0.1,41224.98585858579,25.0,2321099008.0,0.0001792237390124,0.031782940655378,0.2,-0.13,45637.74719990692,0.0,1752,26223.8,0.0753292,0.0,22111.3,0.0515322,0.0,17645.5,0.0552643,0.0,0.0
8,1711880600.0,1608208100.0,1819151700.0,3.8177352,3.3003387,4.358519,57419247.0,0.0242660793797938,0.2,0.4,8843.393254795612,0.0,1711880576.0,0.0001792237390124,0.0241005317731994,0.21,0.3,24969.367811800366,0.0,3325,26173.4,0.0581049,0.0,22356.2,0.0332634,0.0,18175.0,0.0382922,0.0,0.0
11,1487492400.0,1403327500.0,1572967300.0,2.9475675,2.6434932,3.266759,57419247.0,0.0309902365708385,0.2,0.1,15356.979124579124,50.0,1472722688.0,0.0001792237390124,0.0303743237577707,0.21,0.0,43855.58684189735,25.0,1971,22091.0,0.0743822,0.0,18936.7,0.0485602,0.0,15102.1,0.0517559,0.0,0.0
14,350565760.0,321480260.0,380877730.0,8.853597,7.7604337,10.020347,57419247.0,0.0174761013503951,0.2,-0.5,22646.774603174603,25.0,350565760.0,0.0001792237390124,0.0172215482395798,0.2,-0.52,24995.119397394228,0.0,5913,7782.39,0.0791608,0.0,6731.7,0.0531252,0.0,5262.09,0.0542526,0.0,0.0
18,71406210.0,65470708.0,77831480.0,9.277631,7.0974936,12.407569,57419247.0,0.0163377272001531,0.2,-0.2,1727.5456030725377,0.0,71406208.0,0.0001792237390124,0.0153243455159879,0.25,-0.5,85007.39047619047,0.0,7884,4380.59,0.0666136,0.0,3787.54,0.0403455,0.0,2974.68,0.0421448,0.0,0.0
21,27985542.0,25214060.0,31042608.0,14.152536,10.132264,20.44001,57419247.0,0.0150758881223715,0.2,-0.4,1194.262160543275,50.0,27985542.0,0.0001792237390124,0.011476162708512,0.26,-0.7,96455.70264846736,0.0,14018,2337.16,0.0712665,0.0,2015.86,0.0457528,0.0,1571.79,0.0471294,0.0,0.0
24,23399634.0,20473726.0,26575068.0,23.594406,19.813871,27.847515,57419247.0,0.008123423506709,0.2,-1.0,16623.116616716616,0.0,23399634.0,0.0001792237390124,0.0072569333274342,0.2,-0.98,14704.26840671407,0.0,35482,1042.31,0.0910691,0.0,907.306,0.0671295,0.0,685.771,0.0659546,0.0,0.0
27,11426147.0,9846248.0,13131200.0,29.143433,24.490965,34.455254,57419247.0,0.0100867178149629,0.2,-1.1,13782.504166666664,75.0,9557462.0,0.0001792237390124,0.0096467363914916,0.2,-1.09,12353.417054878822,100.0,19956,482.045,0.0920299,0.0,421.243,0.0691585,0.0,313.621,0.0672864,0.0,0.0
31,307591.6,254835.25,373356.12,52.778645,33.75305,124.280266,57419247.0,0.0329246038320746,0.2,-1.1,227.7913411458333,350.0,146170.984375,0.0001792237390124,0.0260596822902747,0.5,-1.26,100000.0,450.0,2628,77.641,0.0886244,0.0,67.946,0.0662651,0.0,49.9319,0.0645134,0.0,0.0
