band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,685342700.0,600086460.0,777038300.0,22.935051,19.237541,27.800936,57630782.0
5,1721802200.0,1590355600.0,1858356500.0,7.1595984,6.2775245,8.111173,57630782.0
8,1588726900.0,1482722600.0,1697908700.0,4.9662113,4.375383,5.579913,57630782.0
11,1416652800.0,1330225400.0,1504607100.0,3.7586107,3.3969352,4.138503,57630782.0
14,412908540.0,378978660.0,447963230.0,8.569131,7.614952,9.577575,57630782.0
18,86651440.0,79533360.0,94285250.0,8.930678,7.1101913,11.247792,57630782.0
21,33558250.0,30438836.0,36963256.0,12.0060835,8.988194,16.476372,57630782.0
24,16474387.0,14247518.0,18945580.0,28.794476,22.496632,36.2379,57630782.0
27,7202204.5,6039485.0,8489410.0,41.68495,32.753284,52.515106,57630782.0
31,212352.7,170063.45,270492.62,79.023926,42.148514,215.7834,57630782.0
