band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,685342700.0,600086460.0,777038300.0,22.935051,19.237541,27.800936,57630782.0,0.011951002232952233,0.1,-0.3,0.0005102962862557906,25.0,653146500.0,0.000178894519695685
5,1721802200.0,1590355600.0,1858356500.0,7.1595984,6.2775245,8.111173,57630782.0,0.03469819287021908,0.2,-0.5,94100.70687830688,350.0,1422802700.0,0.000178894519695685
8,1588726900.0,1482722600.0,1697908700.0,4.9662113,4.375383,5.579913,57630782.0,0.025160887700466275,0.2,-0.1,28656.690331890284,0.0,1588726900.0,0.000178894519695685
11,1416652800.0,1330225400.0,1504607100.0,3.7586107,3.3969352,4.138503,57630782.0,0.02930772574838343,0.2,-0.2,34273.38300502386,0.0,1416652800.0,0.000178894519695685
14,412908540.0,378978660.0,447963230.0,8.569131,7.614952,9.577575,57630782.0,0.019513729134200464,0.2,-0.6,39413.63628441276,25.0,404217630.0,0.000178894519695685
18,86651440.0,79533360.0,94285250.0,8.930678,7.1101913,11.247792,57630782.0,0.01988031526133227,0.2,-0.3,2865.457671957668,0.0,86651440.0,0.000178894519695685
21,33558250.0,30438836.0,36963256.0,12.0060835,8.988194,16.476372,57630782.0,0.018565648451581096,0.2,-0.5,2219.4608465608467,0.0,33558250.0,0.000178894519695685
24,16474387.0,14247518.0,18945580.0,28.794476,22.496632,36.2379,57630782.0,0.0071053066378250485,0.2,-0.9,6537.455158730157,0.0,16474387.0,0.000178894519695685
27,7202204.5,6039485.0,8489410.0,41.68495,32.753284,52.515106,57630782.0,0.009866365312565462,0.2,-1.0,3166.9297813297812,250.0,4457948.5,0.000178894519695685
31,212352.7,170063.45,270492.62,79.023926,42.148514,215.7834,57630782.0,0.02805975478117201,0.3,-1.2,10858.502435126591,350.0,100555.47,0.000178894519695685
