band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,100000.0,0.5,-0.9,0.0017959919694238,0.0,0.5,-0.9,0.0023799232592492,0.0017959919694238,0.0,569530
3,100000.0,0.3,-0.6,0.0030056854111165,25.0,0.3,-0.58,3.0245971506369644e-05,0.0010287290204483192,25.0,1708593
5,100000.0,0.4,-1.2,0.0162510639439251,0.0,0.43,-1.2,1.3552269849017897,0.013506407866981651,0.0,10546
6,100000.0,0.4,-1.1,0.0122582398529944,100.0,0.4,-1.12,0.5243767260119807,0.010197763067812358,0.0,18750
8,100000.0,0.3,-0.9,0.0038263994712233,50.0,0.3,-0.95,0.005878394963673374,0.0020083583864713983,0.0,480540
9,100000.0,0.6,-1.1,0.0049592219896474,25.0,0.5,-1.06,0.02289929162066304,0.0032821810984923205,0.0,168750
11,100000.0,0.2,-0.9,0.0074383022469033,150.0,0.19,-0.9,2.7123371662465075e-06,0.005527486541454296,50.0,63280
12,100000.0,0.1,-0.4,0.0059170364218184,100.0,0.07,0.0,2.3198611001767535e-23,0.004747613748953716,0.0,84375
14,100000.0,0.1,-0.2,0.0060693394629026,150.0,0.1,-0.2,1.5119015564478354e-16,0.0060693394629026,150.0,50000
16,100000.0,0.1,-0.1,0.0085369943342089,500.0,0.08,0.2,3.5762257075235523e-23,0.007216579542818078,400.0,37500
