band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,0.0283075158046389,0.0229905899653975,0.0346632751952485,61.312623045524376,37.83538250826292,93.143808079158,100000.0,0.0030101581407064,0.3,-0.6,0.0001587531682927,200.0,0.0176033204845811,0.0042930146183294,0.002702679906005,0.3,-0.62,0.0001740868146574,175.0,253125,0.06797,0.0538467,1.9008699999999998e-252,0.0593338,0.0274087,1.07334e-65,0.0468253,0.0290997,5.3389199999999996e-74,0.45747042
3,0.4651788234922701,0.4106588933601705,0.5239624874285576,20.291024017309315,17.139798011854687,23.690719647402545,100000.0,0.0149866623890449,0.2,-1.0,0.0003304633666722,0.0,0.42955366362142,0.0042930146183294,0.0136451052287363,0.25,-1.1,0.0062353920420705,50.0,10008,0.142528,0.0955744,0.0,0.127703,0.0723391,0.0,0.0954302,0.0687135,0.0,1.3313240000000002e-16
5,2.0546879673610423,1.9018394253059965,2.2121823017987237,6.662685575905655,5.765407977289399,7.6744420229247,100000.0,0.007504886014655,0.7,-1.1,3.035913405857789,75.0,2.0546879673610423,0.0042930146183294,0.0045835659642925,0.8,-1.15,4.590332762306572,0.0,84375,0.69908,0.0736737,0.0,0.598072,0.0483004,3.5212399999999987e-203,0.470532,0.0507408,3.3828799999999995e-224,0.029845012
6,1.4411454156686152,1.3278300719141496,1.5578876027262485,7.673074716113337,6.76266367066508,8.657274065661813,100000.0,0.0092436228246583,0.7,-1.2,2.9315858638052297,100.0,1.4112394141806373,0.0042930146183294,0.0085266407890562,0.66,-1.2,2.784246829567566,25.0,25000,0.462849,0.0847337,0.0,0.400424,0.0600034,,0.306604,0.0599408,,9.6276102e-07
8,0.119059559869416,0.104959302892784,0.1354627755722532,22.719706969562395,14.181013901746484,38.698902465571486,100000.0,0.0032839873502102,0.5,-1.1,0.0826802499093167,0.0,0.1111704879161482,0.0042930146183294,0.0020696205095088,0.5,-1.09,0.074491080083187,25.0,427147,0.14393,0.0718257,0.0,0.123651,0.0463325,5.481859999999997e-187,0.0967589,0.0481733,4.100919999999999e-202,0.78423172
9,0.0386899384849369,0.0341664914986472,0.0443926453589802,23.432595601335063,12.30717893553752,61.115652984276,100000.0,0.0028187951546142,0.5,-1.1,0.0250572301054013,25.0,0.0386899384849369,0.0042930146183294,0.0018850884256808,0.49,-1.1,0.0251978710758991,0.0,506250,0.0810359,0.0742248,0.0,0.0691992,0.0493299,6.411059999999998e-212,0.0541058,0.0513608,1.05757e-229,0.868696
11,0.0176788361064111,0.0145498398763702,0.0213769350214638,52.743853122140024,33.994199666449475,94.05244653173678,100000.0,0.0068646791386778,0.1,-0.4,2.367802529138339e-14,25.0,0.0176788361064111,0.0042930146183294,0.0049155248727299,0.1,-0.42,3.0170862451271455e-14,0.0,75000,0.0250221,0.0861154,0.0,0.0219175,0.0617128,0.0,0.0166328,0.0602397,,0.015881156
12,0.0050199637992026,0.0039811671706978,0.0065993960252946,93.8773504064587,41.09665535763616,280.321251755252,100000.0,0.0045515608968121,0.1,-0.4,6.456972322238463e-15,25.0,0.0043290291362199,0.0042930146183294,0.0045515608968121,0.1,-0.4,6.456972322238463e-15,25.0,90099,0.0125905,0.081585,0.0,0.0110799,0.057001,7.354639999999998e-283,0.00841578,0.0552423,1.0895499999999997e-265,0.031642872
14,0.0003732423451495,0.0002667337680488,0.0007503547135906,620.0085133136596,46.07785733333385,1725.1900217543075,100000.0,0.0076360349763326,0.1,-0.1,4.2441233932471803e-17,250.0,0.0002093236266232,0.0042930146183294,0.0063002453137857,0.08,0.2,3.004171773490871e-22,150.0,47460,0.00355214,0.0734344,0.0,0.00316652,0.0486982,1.5543099999999997e-206,0.00241117,0.0456927,7.210689999999997e-182,0.0007103707
16,8.947893123131835e-05,5.777679697985764e-05,0.0001470492432173,358.27805812122585,111.1411495183505,987.716850429806,100000.0,0.009201892342539,0.1,-0.1,3.545036785218598e-18,500.0,1.5390651659628426e-05,0.0042930146183294,0.0078515514645611,0.1,-0.1,3.7071733698016265e-18,475.0,31639,0.0010416,0.071981,0.0,0.000927858,0.0470736,5.250869999999999e-193,0.000712353,0.0439333,3.6924099999999986e-168,8.7925932e-06
