band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.0283075158046389,0.0229905899653975,0.0346632751952485,61.312623045524376,37.83538250826292,93.143808079158,196196.0,0.003010158140706468,0.3,-0.6,0.00015875316829278357,200.0,0.016988263674833432,0.0030652486290846013
3,0.4651788234922701,0.4106588933601705,0.5239624874285576,20.291024017309315,17.139798011854687,23.690719647402545,218424.0,0.014986662389044891,0.2,-1.0,0.00033046336667227536,0.0,0.4651788234922701,0.002905138963131756
5,2.0546879673610423,1.9018394253059965,2.212182301798724,6.662685575905655,5.765407977289399,7.6744420229247,2163728.0,0.0075048860095879855,0.7,-1.1,3.035913405857789,75.0,1.9478701086231907,0.0009231956086551849
6,1.4411454156686152,1.3278300719141496,1.5578876027262485,7.673074716113337,6.76266367066508,8.657274065661813,1092936.0,0.009243622684570685,0.7,-1.2,2.9315858638052297,100.0,1.3439140708924415,0.0012989215754905066
8,0.119059559869416,0.104959302892784,0.1354627755722532,22.719706969562395,14.181013901746484,38.698902465571486,7083852.0,0.0032839873502102934,0.5,-1.1,0.08268024990931672,0.0,0.11905955986941605,0.0005102423992838792
9,0.0386899384849369,0.0341664914986472,0.0443926453589802,23.432595601335063,12.30717893553752,61.115652984276,10628850.0,0.002818795154614251,0.5,-1.1,0.025057230105401385,25.0,0.03608241135177799,0.00041655449325282446
11,0.0176788361064111,0.0145498398763702,0.0213769350214638,52.74385312214002,33.994199666449475,94.05244653173678,13469170.0,0.006864679138677818,0.1,-0.4,2.3678025291383397e-14,25.0,0.015874756195178554,0.00037003803981873283
12,0.0050199637992026,0.0039811671706978,0.0065993960252946,93.8773504064587,41.09665535763616,280.321251755252,44356618.0,0.004551560896812162,0.1,-0.4,6.456972322238463e-15,25.0,0.004329029136219946,0.000203912616774853
14,0.0003732423451495,0.0002667337680488,0.0007503547135906,620.0085133136596,46.07785733333385,1725.1900217543075,24973922.0,0.007636034976332633,0.1,-0.1,4.2441233932471803e-17,250.0,0.00017619846235959248,0.0002717548302104921
16,8.947893123131835e-05,5.777679697985764e-05,0.0001470492432173,358.27805812122585,111.1411495183505,987.716850429806,16330930.0,0.009201892342539153,0.1,-0.1,3.545036785218598e-18,500.0,1.471752757136039e-05,0.0003360567820507647
