band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,196196.0,0.3,-0.6,0.0030101581407064,200.0,0.3,-0.62,0.00017408681465749318,0.0027026799060051454,175.0,248310
3,218424.0,0.2,-1.0,0.0149866623890448,0.0,0.25,-1.1,0.006235392042070504,0.013645105228736396,50.0,10237
5,2163728.0,0.7,-1.1,0.0075048860095879,75.0,0.8,-1.15,4.590332762306572,0.004583565964292588,0.0,85576
6,1092936.0,0.7,-1.2,0.0092436226845706,100.0,0.66,-1.2,2.784246829567566,0.008526640789056239,25.0,25615
8,7083852.0,0.5,-1.1,0.0032839873502102,0.0,0.5,-1.09,0.07449108008318701,0.0020696205095087628,25.0,442740
9,10628850.0,0.5,-1.1,0.0028187951546142,25.0,0.49,-1.1,0.025197871075899145,0.0018850884256808587,0.0,498226
11,13469170.0,0.1,-0.4,0.0068646791386778,25.0,0.1,-0.42,3.017086245127145e-14,0.004915524872729983,0.0,78919
12,44356618.0,0.1,-0.4,0.0045515608968121,25.0,0.1,-0.4,6.456972322238463e-15,0.0045515608968121,25.0,86634
14,24973922.0,0.1,-0.1,0.0076360349763326,250.0,0.08,0.2,3.004171773490871e-22,0.0063002453137857226,150.0,48777
16,16330930.0,0.1,-0.1,0.0092018923425391,500.0,0.1,-0.1,3.7071733698016265e-18,0.007851551464561174,475.0,30274
