band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.0185647791154102,0.0149551086877555,0.0232441464505851,72.2320825780278,31.19178011137935,142.08011628568437,197712.0,0.0017494132371813982,0.2,0.0,1.7959483791875544e-07,100.0,0.013133630188531462,0.0030534775437893067
3,0.2894327069004237,0.2507943853709041,0.3318038608018778,27.550014753827707,22.18629433161805,33.96144482907002,220110.0,0.01759504445461002,0.1,-0.5,7.772016479069886e-13,50.0,0.2605345362035806,0.002893994099028672
5,2.380127443158758,2.2025903062822403,2.563303234442324,6.717315539522828,5.855500553663894,7.663600838229306,2180200.0,0.010893912530148125,0.6,-1.1,2.5683363074888956,75.0,2.2582687811063282,0.0009197017909999025
6,1.5083799989678353,1.3911453486363186,1.6291150098325058,7.438537531661879,6.561468692466627,8.38160205175891,1101280.0,0.010889475589913336,0.5,-1.1,1.0087181236560947,50.0,1.4525540980647762,0.0012939920673944456
8,0.1234755517822664,0.1083877926321007,0.1413114949814238,24.63841890328868,14.476913549196096,44.979731898517954,7137684.0,0.0024284734205792247,0.4,-1.0,0.02530382981030513,0.0,0.12347555178226649,0.0005083147369234531
9,0.030329972931255,0.0268932664913064,0.0348609243291336,22.942081530057703,10.88209684400836,68.35662200239672,10709440.0,0.00520274164339235,0.7,-1.1,0.03751473850912809,200.0,0.024069803056223575,0.0004149842777022376
11,0.0178331315677559,0.014691303116277,0.0215125141484495,51.884615960768905,33.897953535823326,88.89253134232638,13571146.0,0.007358749096616268,0.1,-0.4,2.3912732137289833e-14,25.0,0.01603211365680184,0.0003686451989467121
12,0.0078197025737464,0.0061797971852729,0.0099696525385342,83.70157845348922,46.52756410380164,182.3879354739031,44692302.0,0.009571940474157381,0.1,-0.4,7.278959703452656e-15,150.0,0.004880124470890324,0.00020314539336074055
14,0.0004732157830115,0.0003610445081505,0.0007009339155658,174.95484866263882,47.58111476618236,614.3096412050047,25162862.0,0.01147331215191566,0.1,0.0,2.3461695454900157e-17,500.0,0.00016697702199219993,0.00027073267211257993
16,0.0001204890158881,7.701228650017989e-05,0.0002079868435536,417.9760353112647,110.44384460152672,1193.789909925931,16454458.0,0.016480423771574215,0.1,-0.1,4.554701950299485e-18,500.0,1.8909240042971257e-05,0.00033479300999370986
