band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,100000.0,0.4,-0.8,0.0022888099429409,150.0,0.38,-0.8,0.0008308356880553629,0.0015753936027622425,100.0,759375
3,100000.0,0.1,-0.5,0.0154775806053306,300.0,0.1,-0.54,5.793229508553435e-13,0.014108189615110261,200.0,9375
5,100000.0,0.7,-1.2,0.0104111113896569,100.0,0.65,-1.2,4.07760347975338,0.009129496448979382,0.0,21093
6,100000.0,0.6,-1.2,0.0112418479517158,0.0,0.62,-1.2,2.709786307417276,0.010953313517543528,50.0,15819
8,100000.0,0.3,-0.9,0.0038452052095915,0.0,0.4,-1.03,0.03228577934984801,0.00194345123537909,25.0,506250
9,100000.0,0.6,-1.1,0.0031499856808854,50.0,0.5,-1.06,0.02080823850428313,0.002553606840756756,25.0,284764
11,100000.0,0.2,-1.0,0.0086971628670822,25.0,0.17,-0.9,7.687892162716835e-07,0.00606299546274509,25.0,50000
12,100000.0,0.1,-0.5,0.0084148462060786,50.0,0.1,-0.52,3.3466990642766605e-14,0.007697560281084821,25.0,31639
14,100000.0,0.1,-0.3,0.0096859992252623,200.0,0.08,0.0,2.251475337414162e-21,0.008512622782263057,100.0,25000
16,100000.0,0.1,-0.3,0.0109225852092022,500.0,0.09,-0.1,8.295930834412883e-20,0.00993708200431398,550.0,18750
