band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.0185637641642616,0.0149535975550506,0.0232457395405435,72.24880258322914,31.18384716715463,142.20829216240264,197712.0,0.0017468435767290652,0.2,0.0,1.7958619020701248e-07,100.0,0.013132997788127723,0.0030534775437893067
3,0.2894186644147591,0.250792822126112,0.3318261728821054,27.546148737757942,22.178210059980984,33.96589199081645,220110.0,0.019236415426525877,0.1,-0.5,8.135328119835528e-13,25.0,0.2727135157617359,0.002893994099028672
5,2.3801232678607303,2.202598980578134,2.5633103892116904,6.717265135886487,5.8556181887335095,7.663497038656467,2180200.0,0.010895878720368707,0.6,-1.1,2.5683317046747582,75.0,2.2582647339761133,0.0009197017909999025
6,1.5083800361386448,1.3911453807583811,1.6291148883184483,7.438538108975289,6.561466782987522,8.381595385643845,1101280.0,0.010889239570503889,0.5,-1.1,1.0087181362260473,50.0,1.4525541161655078,0.0012939920673944456
8,0.1234751746736834,0.108387875111913,0.1413120771947968,24.637847425289557,14.476141114460356,44.97587181260985,7137684.0,0.0024380752870142852,0.4,-1.0,0.025303752529489056,0.0,0.1234751746736834,0.0005083147369234531
9,0.0303299727424965,0.0268932607765274,0.0348609223278377,22.942093746266305,10.882128366761668,68.35683186790725,10709440.0,0.005204476537802205,0.7,-1.1,0.03751473795501935,200.0,0.02406980270070228,0.0004149842777022376
11,0.0178331282826007,0.0146913166858438,0.0215125404335259,51.88450921589213,33.89788617602862,88.89214524444218,13571146.0,0.007359227377575217,0.1,-0.4,2.3912732511390722e-14,25.0,0.016032113907615,0.0003686451989467121
12,0.0078197026672832,0.0061797975373957,0.0099696508388119,83.70160024913113,46.527554334233685,182.38805533113288,44692302.0,0.009571885316246642,0.1,-0.4,7.278959651854683e-15,150.0,0.0048801244362968454,0.00020314539336074055
14,0.000473215777579,0.0003610445218543,0.0007009338217592,174.9547901159616,47.581088640749286,614.3094097729527,25162862.0,0.011473594940110632,0.1,0.0,2.3461698109387755e-17,500.0,0.0001669770408842035,0.00027073267211257993
16,0.000120489011867,7.70123034784248e-05,0.0002079868194045,417.97586877300495,110.44383292414014,1193.7895080369187,16454458.0,0.01647987537539769,0.1,-0.1,4.554702055565931e-18,500.0,1.8909240479994033e-05,0.00033479300999370986
