band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,0.0211981160925433,0.0164464076379343,0.0271140936072594,92.1414695067079,51.47167928975687,143.8671971026479,198372.0,0.002785459019397,0.4,-0.8,0.0012552160491004,200.0,0.012233066325636201,0.0030483951315025473,0.0023320121976054264,0.38,-0.8,0.001028839644214108,150.0,334752
3,0.2486495201799723,0.2073917726184514,0.2943982016701879,44.3023399921828,35.84566914328659,53.76089344133888,220862.0,0.0141716729667648,0.1,-0.5,4.4479424835675467e-13,250.0,0.16782010671819048,0.0028890643950308242,0.01391661811875422,0.09,-0.4,3.63156428686756e-15,175.0,9822
5,2.058044354986594,1.886679812206102,2.234810667119887,8.818685038401433,7.701874535507279,10.044143213015724,2187988.0,0.0098541184606705,0.7,-1.2,4.025656513767189,150.0,1.9360518624714345,0.0009180636587846647,0.008460663422563797,0.6,-1.18,2.9249001819290914,75.0,25639
6,1.4364259907227872,1.31234844942971,1.5644971873367557,9.662532250608685,8.566489915815062,10.818680368194228,1105198.0,0.0088312688469929,0.4,-1.1,0.4322221768016335,0.0,1.4364259907227872,0.0012916966556503072,0.0088312688469929,0.4,-1.1,0.4322221768016335,0.0,24583
8,0.1598491089493456,0.1379743467603212,0.1853151479648346,31.21807867966244,19.86962389622388,45.31361132058057,7163472.0,0.0041412982796264,0.5,-1.1,0.0925911246763902,75.0,0.14690300038161233,0.0005073990051987327,0.0013728568636485194,0.36,-1.0,0.017565049802089637,25.0,1007362
9,0.0395591558727152,0.0350559901061458,0.0452564348929418,22.185759009471496,11.391605702470946,58.42844776990301,10748378.0,0.0030989244559629,0.5,-1.1,0.0274716360227189,0.0,0.0395591558727152,0.00041423194497243145,0.0030989244559629,0.5,-1.1,0.0274716360227189,0.0,188935
11,0.0103605723177392,0.0082926384162519,0.013129423944528,77.08098967535902,36.780052547293934,185.3616720486137,13620622.0,0.0059059702046341,0.2,-0.9,3.2852589818450694e-06,50.0,0.008961046021942998,0.0003679750725827536,0.0042099090356718105,0.17,-0.8,1.7209572489137892e-07,25.0,106411
12,0.0039283649636615,0.0029276713463075,0.0055303054025962,155.88705895464346,53.96760056521243,425.9673921310089,44855454.0,0.0038560999886625,0.1,-0.3,2.4694782895201946e-15,25.0,0.003160773721444824,0.00020277561489078264,0.0016247947065434303,0.11,-0.4,1.3737773790502847e-13,25.0,700866
14,0.0003165760385988,0.0002124604821502,0.0006929796670944,861.8334888900152,55.86669328090021,2194.1922368666283,25254822.0,0.0048259294627833,0.1,0.0,2.210872549367588e-17,150.0,0.0001770598400334378,0.0002702393272564491,0.0034379232450051436,0.08,0.4,8.24601505657291e-23,100.0,158017
16,6.500299227233185e-05,3.50904874692866e-05,0.0001468047165384,1082.2892946845377,138.95270687436744,2712.878271212437,16514624.0,0.0063521789286479,0.1,0.1,9.528932224553412e-19,350.0,1.3979282602926855e-05,0.00033418261380715526,0.004827482694274188,0.08,0.4,6.510419008740388e-24,250.0,81643
