band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,243467569634616.44,217877560182670.25,273730074691924.84,3.714796381358716,0.9551293326474684,7.116681114592522,1440.0,0.008307959651657537,0.2,13.0,100000.0,0.0,243467569634616.44,0.03567116747608868
5,320401167887175.75,275195131029031.9,371005245737152.8,31.324241841971485,22.3787257961846,39.60672439302477,14400.0,0.007359887033291712,0.1,9.4,4.8659105938487e-07,150.0,172080358816622.78,0.011305846896468966
8,59712118487848.68,50110813752668.9,73106057128876.31,52.54679737453523,16.25722381803168,111.32475685385889,27360.0,0.004319990220487199,0.2,13.0,17095.463611852,150.0,39198629955211.06,0.008204451759313478
11,7168298230305.92,6801526982675.579,7564476656371.197,2.2253728612731845,1.1785911939627671,3.8810855991347233,56160.0,0.001426111086158477,0.2,20.0,434.84686339813715,75.0,6842673355188.7705,0.005727856644934677
14,91314547208608.66,77366453783109.38,107373558542069.69,38.34776593858958,27.328524924109544,56.442867479699785,112320.0,0.014774214783792872,0.1,0.7,0.2889554804061051,500.0,46505979193618.25,0.004050824017412075
17,454890302110534.06,428871707348142.8,482680166969610.1,3.298451392315382,2.267098267426124,6.351522720152802,901440.0,0.007441816028917914,0.1,7.8,5.8850002759316065e-06,0.0,454890302110534.06,0.0014302327594031751
20,30974904537265.645,29071476797793.56,33093694884168.72,4.275142499541381,2.533420055361624,8.978659909733876,1802880.0,0.0008579519273932412,0.1,12.0,1.0820079014754517e-08,25.0,30133639283422.156,0.0010113656230693639
23,5116659072593.498,4807442809138.316,5484486822859.683,4.300044203031571,2.1499697073646544,14.019379665656396,14423040.0,0.0009243605337434513,0.1,14.0,4.682448288217321e-10,25.0,4981675970223.868,0.0003575928886806848
26,676760249153.4296,621238374811.1229,767307419585.0708,14.187419240758125,3.894256341890829,66.86982072127721,7211520.0,0.0011803036352126678,0.1,7.5,1.1384724786996146e-08,25.0,643625008600.2432,0.0005057059408510994
30,55637171433.52014,51114958940.84174,60951922914.95967,9.52405182028234,5.739480120932104,23.518040019695626,14423040.0,0.002621407245751106,0.1,4.3,5.9446239664371254e-08,25.0,53497044111.81949,0.0003575928886806848
