band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1440.0,0.2,13.0,0.0083079596516575,0.0,0.14,13.0,0.7975957986511736,0.006386016935617411,0.0,46705
5,14400.0,0.1,9.4,0.0073598870332917,150.0,0.09,9.8,5.63763391553485e-10,0.0068825002229054855,125.0,41005
8,27360.0,0.2,13.0,0.0043199902204871,150.0,0.2,13.0,17095.463611852,0.0043199902204871,150.0,103882
11,56160.0,0.2,20.0,0.0014261110861584,75.0,0.21,20.0,1679.8692804982065,0.0014190565937166454,75.0,959545
14,112320.0,0.1,0.7,0.0147742147837928,500.0,0.09,1.1,0.0004505684673919321,0.01202077577124483,575.0,13324
17,901440.0,0.1,7.8,0.0074418160289179,0.0,0.1,7.8,5.885000275931607e-06,0.0074418160289179,0.0,31690
20,1802880.0,0.1,12.0,0.0008579519273932,25.0,0.1,12.0,1.0820079014754516e-08,0.0008579519273932,25.0,2566990
23,14423040.0,0.1,14.0,0.0009243605337434,25.0,0.1,14.0,4.68244828821732e-10,0.0009243605337434,25.0,2281770
26,7211520.0,0.1,7.5,0.0011803036352126,25.0,0.1,7.5,1.1384724786996146e-08,0.0011803036352126,25.0,1352160
30,14423040.0,0.1,4.3,0.0026214072457511,25.0,0.1,4.3,5.944623966437125e-08,0.0026214072457511,25.0,270735
