band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,415452845636473.25,415452845636473.25,299078993676884.7,258277902524876.56,231609042140750.97,210495135098651.7,177624228370088.25,152683979299330.75,132921575280000.64,116389683126446.66,102072427442912.98,68542606563304.36,0.009150385184545,0.0125815590238774,0.0241567411792693,0.0365849114581249,0.0473961179941909,0.0662309713779417,0.0824128718702125,0.0966047454061832,0.1095965335140074,0.1227052413803129,0.1629237020151049,0.05141205662889936,0.04090598483519256,0.02878816625678854,0.012678501957281263,0.009150385184545085,,,,,
5,862179519428312.5,862179519428312.5,755920273012950.2,686089933006398.0,630705486310368.4,584910879497439.8,513316134699755.3,460626582261448.3,417222005113569.44,380928057436479.25,350667718744075.5,282613579758259.9,0.0272770838831589,0.0242671686619405,0.0227485244354944,0.0205114788736205,0.0186568608418902,0.0164505031462887,0.0144197047441701,0.0136281143308489,0.0155746446232281,0.017234900399773,0.0216329583947055,0.017218384968345157,0.01641299518439489,0.015553341583326498,0.014603319837225702,0.013619991737011948,438140236047573.1,0.012962232365384019,0.013867882487703431,0.014872696127261664,0.015824289708407102
8,182713902419671.25,182713902419671.25,162274296619730.28,149990482051941.66,140450409167115.22,132870746146036.02,121511583833620.88,112398812568405.52,104614567572689.56,97888377112251.77,92104765929882.66,78609302857534.34,0.0206789107539929,0.0206789107539929,0.0206789107539929,0.0206789107539929,0.0197009035072934,0.0173787655195566,0.0154296415615499,0.0140617258482517,0.0119193586143297,0.0103519101279827,0.0121500037669102,0.011328929898779344,0.010975957790487628,0.010553491010811933,0.010177722953179202,0.010351910127982755,89494971285825.11,0.011440032446484144,0.011906145120684997,0.012708331066674572,0.013667305628427218
11,14087296424581.094,14087296424581.094,11685988267068.885,10998314199175.3,10673128150026.443,10426847381846.6,10054407677208.096,9781905905754.592,9555595305170.404,9352893043581.344,9172009091123.15,8739322258790.687,0.0073543869101094,0.0073543869101094,0.0073543869101094,0.0071592158264404,0.0059874753329894,0.004673383104177,0.0035676248664882,0.0037780291072816,0.0041559565027323,0.0047249256233775,0.0057662294217596,0.00510593616046412,0.004035026488575899,0.0037830648432350318,0.0036264033076451583,0.003567624866488206,,0.003584402678411569,0.003584402678411569,0.003584402678411569,0.003584402678411569
14,558267416823889.4,558267416823889.4,542821744721444.8,533165377400402.3,525283264611572.25,518300219539135.8,506332408528522.1,495958802996420.5,486660864781194.1,478137464704008.56,470218661614764.4,449101163566753.3,0.0104589482321249,0.0111803064273221,0.0117027093010139,0.0118899556279564,0.0121654137760522,0.0129215173744915,0.0135646257005377,0.0141646000174498,0.014732966536336,0.0152775666294863,0.0167653525274316,0.012159607872594555,0.011803151962886407,0.011358202766757863,0.010970448328135984,0.010458948232124912,,,,,
17,453577136740590.3,453577136740590.3,445803491635042.5,440778490062531.5,436514589607133.44,432725661985897.3,426045141306128.5,420156018509211.6,414782623744063.4,409794412969740.7,405135459346225.7,392579067082224.06,0.0032541013426131,0.005006694852396,0.0061622134062052,0.0071601481713303,0.008056731863639,0.0096541222635908,0.0110801140242854,0.0115166912367054,0.0105194112114455,0.0096206083358961,0.0093674077225077,0.004534640777533391,0.003775692369294134,0.004028159111519103,0.003014184546306947,0.0032541013426131693,445803491635042.5,,,,
20,19462611099887.18,19462611099887.18,18890191996929.82,18620269003363.12,18398756907315.84,18204341690164.69,17867293370770.965,17575321962818.545,17313216346112.098,17072616966042.244,16849422071193.584,16259188755802.717,0.0016051176444588,0.0013778534592052,0.0016051176444588,0.0016168818557131,0.0018923466249478,0.0025851115931346,0.0034374726807205,0.0042588553484552,0.0050382667331678,0.0057851563746015,0.0078987593409832,0.0023916772625573735,0.0018756942565029446,0.001573394482908672,0.0013793226293855598,0.0013778534592052694,,0.0034696197295811526,,,
23,6019358550205.939,6019358550205.939,5756523464701.21,5651820692938.956,5567830326387.152,5495557023718.462,5372454020053.262,5267698767659.743,5175257756038.52,5091746352086.844,5015201394945.898,4815555701686.529,0.003233068383483,0.0026895425055433,0.0011307358238776,0.0017555873098431,0.0019716550966049,0.0025771609073865,0.0032823348961797,0.0041080722866817,0.0049254743464032,0.0057056048692173,0.0078814318086973,0.002706846459490965,0.002363754336101611,0.0020400807759881033,0.0019946609418793892,0.0011307358238776821,,0.0026895425055433186,0.004147310521807834,,
26,296620965747.4332,296620965747.4332,289088835581.6476,284573605774.6435,280821679231.4252,277527557533.4384,271805468212.9608,266852855769.47937,262418814693.2898,258370002651.31747,254626633272.4531,244716973881.00528,0.0006037031230781,0.001340100674852,0.0020260074479734,0.0025918870205893,0.0031158426132165,0.0040735104528667,0.0049429424879084,0.0057582434452095,0.0065345294015525,0.0072799506961434,0.009375092450856,0.003389435382720879,0.0025753274018792613,0.0018898695069926863,0.0011726876583102938,0.00023214330183285448,296620965747.4332,,,,
30,37811097901.09289,37811097901.09289,36412758476.78594,35616710706.20672,34962617935.656815,34390840887.80351,33405726368.40329,32559594086.17511,31809871682.12888,31131034300.59005,30507851524.78501,28884927353.695503,0.0022050816913797,0.0023107570121326,0.0030066743308832,0.0037313235445556,0.0043234996610929,0.0051644274729858,0.0061380351002038,0.0070361600340409,0.007695608393704,0.0084956951434058,0.0106053813753959,0.004983708396819643,0.004399643775631158,0.003960013854545627,0.003302333875763737,0.002205081691379701,,,,,
